" 111. State whether true or false In case of non-scheduled rate item, while working out the Analysis of Rate, the rate available on the DGS&D Rate contract should be adopted for working out the Analysis of Rate or alternatively the current market rate at that specific period should be ascertained and adopted. ",(a) True ,(b) False,,,A,(10.3.3_a),,
" 112. If in any case the materials, the supply of which is stipulated in the contract do not become available in time for supply to the contractor, the DO may ",(a) deferred the work till it becomes available ,(b) ask the contractor to arrange the material himself and charge ,(c) arrange from any source and supply to the contractor at the cost incurred ,(d) arrange from any source and supply to the contractor at the stipulated rate.,D,(10.3.3_b),,
 113. Supervision and contingencies charges on account of issue of stock materials to contractors for bonafide use on works is ,(a) 5% ,(b) 7 ½% ,(c) 10% ,(d) NIL,D,(10.3.3_c),,
 114. Supervision and contingencies charges on account of sale of stock materials to contractors and public shall be ,(a) 5% ,(b) 7 ½% ,(c) 10% ,(d) NIL,C,(10.3.3_c),,
 115. Pick the incorrect one ,(a) All materials required for issue to a contractor should be made over to him on a regulated scale and restricted to actual and immediate requirement ,"(b) A stamped and dated acknowledgement, detailing full particulars of the materials including the rates and values chargeable to him, should at once be taken from the contractor. ","(c) The issue of materials should simultaneously be entered in the Account of Materials issued to contractors, Form CPWA 35-A. ",(d) The issue of material shall be debited to contractor whose contract is for finished items of works.,B,(10.3.4) unstamped not stamped acknowledgement,,
" 116. When the materials are obtained by purchases, full details of the articles received should at once be entered in the ",(a) Work abstract ,(b) MPSSA ,(c) Contractor Ledger ,(d) Measurement Book,D,(10.3.5),,
 117. Pick the incorrect one ,(a) The recovery from a contractor on account of the cost of material issued to him for use on a work should ordinarily be made by deduction from the first bill authorizing an advance payment or an on account payment to him for the work. ,"(b) Gradual recovery be undesirable in any case, the Divisional Officer may permit, the recovery to be effected in a lump-sum ",(c) Sub-divisional Officers should maintain a numerical account in Form CPWA 35-A Account of Material issued to contractor ,"(d) The purpose of CPAW 35A is to ensure that the aggregate of the quantities of any or all materials issued to a contractor, from time to time, for use on a work remains within the estimated requirements of his contract.",B,(10.3.7) Gradual not lamp-sum recovery of advance is desireable.,,
 118. If the specification or schedule of items provides for the use of any special description of materials for work to be supplied from ,(a) SDO’s Store ,(b) Superintendent of Store ,(c) Divisional store ,(d) Engineer-in-charge’s stores,D,(10.3.9),,
" 119. Stores/materials supplied by the Government for use on the work shall not be removed/ disposed of from the site of the work on any account and shall be, at all times, open to inspection by the ",(a) SDO ,(b) DO ,(c) Engineer-in-charge. ,(d) Superintendent of Store,C,(10.3.9),,
 120. Any stores/materials supplied by the Government remaining unused shall be returned to ,(a) SDO ,(b) DO ,(c) Engineer-in-charge. ,(d) Superintendent of Store,C,(10.3.9),,
" 121. At the time of returning the unused materials, the price for such material shall be determined by ",(a) Engineer-in-charge ,(b) SDO ,(c) DO ,(d) SE,A,(10.3.9),,
 122. The price allowed to the contractors for return of unused store shall be determined in such way that it does not exceed ,(a) Schedule of rates ,(b) Market rate ,(c) Amount charged to contractor at the time of issue including storage charge ,(d) Amount charged to contractor at the time of issue excluding storage charge,D,(10.3.9),,
 123. Deduction on account of any deterioration or damage of material while in custody of the contractor to be decided by the Engineer-in-charge whose decision will be ,(a) final and conclusive. ,(b) reviewed by the DO ,(c) reviewed by the SE ,(d) reviewed by the Government,A,(10.3.9),,
" 124. If stores/materials are supplied to the contractor by the Government within the schedule time for completion of the work, the contractor shall be bound to complete the entire work within schedule time for completion of the work plus ",(a) 25% per cent thereof ,(b) 50% per cent thereof ,(c) 75% per cent thereof ,(d) 100% per cent thereof,B,(10.3.9),,
" 125. If a part only of the materials has been supplied within schedule time for completion of the work then the contractor shall be bound to do so much of the work as may be possible with the material and stores supplied in the aforesaid period. “For the completion of the rest of the work, the contractor shall be entitled to such extension of time as may be determined ",(a) Engineer-in-charge ,(b) SDO ,(c) DO ,(d) SE,A,(10.3.9),,
 126. The decision in the above case by the competent authority shall be ,(a) reviewed by the DO ,(b) reviewed by the SE ,(c) reviewed by the Government ,(d) final and conclusive,D,(10.3.9),,
 127. Surplus materials which were originally procured by the contractors for themselves can also be taken over by the Government only on special arrangements at the prevailing ,(a) Issue Rates ,(b) Market rates ,(c) Analyzed rates ,(d) Assessed rates,B,(10.3.9),,
 128. The hire charges of tools and plant by the contractor count from ,(a) the date these are taken out from Departmental workshop or specific place till the date of their return. ,(b) the date following these are taken out from Departmental workshop or specific place till the date of their return. ,(c) the date following these are taken out from Departmental workshop or specific place till the previous date of their return. ,(d) the previous date these are taken out from Departmental workshop or specific place till the following date of their return.,A,(10.3.10),,
" 129. When materials are issued direct to work from stock/manufacture accounts, the credit will be effected to ",(a) Contractor’s Ledger ,(b) Work concerned ,(c) Stock ,(d) Measurement Book,C,(10.3.6),,
" 130. When materials are issued to contractor and direct to work from stock/manufacture accounts, the adjustment will be effected ",(a) As soon as possible at the receipt of material ,(b) At the end of the month ,(c) at the time of completion of work ,(d) At the end of the year,B,(10.3.6_2 and 10.3.11),,
" 131. When materials are issued to contractor and direct to work by transfer from other work or division or by purchase, the adjustment will be effected ",(a) As soon as possible at the receipt of material ,(b) At the end of the month ,(c) at the time of completion of work ,(d) At the end of the year,A,(10.3.11_a_2),,
 132. State whether true or false The full value credited to head concerned for the issue of material to work should be debited to the work and the quantities entered in the Register of Materials-atsite Account Form CPWA 35. ,(a) True ,(b) False,,,A,(10.3.11_a),,
" 133. Materials received direct from suppliers, full details of the articles received should at the same time be entered in a ",(a) Good Received Sheet ,(b) Measurement book ,(c) Debit Note ,(d) Credit Note,B,(10.3.11_b),,
" 134. When materials are issued direct to a work either for work to be done departmentally or through contractor on labour rates, their cost is ",(a) debited to the Suspense head “Materials” in the account of work. ,(b) credited to the Suspense head “Materials” in the account of work. ,(c) debited to the Contractor’s Ledger-Other Transaction in the account of work. ,(d) credited to the Contractor’s Ledger-Other Transaction in the account of work,A,(10.3.12_a),,
" 135. When materials are issued to contractor whose contract is for finished rate, their cost should be debited to work concerned under the ",(a) Contractor-Other Transaction ,(b) Advance payment ,(c) Contractor-Material ,(d) Secured Advance,A,,,
" 136. A detailed account of item of materials showing the receipts, issues and balances so that the total issues of each items may be watched with reference to the estimated requirements, should be kept in Form ",(a) CPWA 23 ,(b) CPWA 35 ,(c) CPWA 35A ,(d) CPWA 38,B,(10.3.12_b),,
 137. All surplus materials at site of works should be transferred to other works in progress their value being credited to the ,(a) work to which they were originally issued ,(b) work to which they are transferred ,(c) Stock Account ,(d) All of the above,A,(10.3.13_b),,
 138. All surplus materials at site of works should be transferred to other works in progress their value being debited to the ,(a) work to which they were originally issued ,(b) work to which they are transferred ,(c) Stock Account ,(d) All of the above,B,(10.3.13_b),,
 139. Credit and debit of value of all surplus materials at site of works if brought on the stock shall be made in the stock Account in Form ,(a) CPWA 38 ,(b) CPWA 57 ,(c) CPWA72 ,(d) CPWA 73,D,(10.3.13_b),,
 140. Materials returned to stores or transferred to other works should be priced within ,(a) current market rates ,(b) market rate at the time of issue of material ,(c) Issue rates ,(d) Assessed rates,A,(10.3.13_c),,
 141. Any resultant loss on transfer of materials from a work shall be borne by the ,(a) work to which they were originally issued ,(b) Work or stock to which transferred as the case may be ,(c) distributed between work to which they were originally issued and work or stock to which they are transferred as the case may be ,(d) Either of the above at the discretion of DO,A,(10.3.13_c),,
 142. Unused balances of materials charged direct to works should be verified at least once ,(a) a week ,(b) a month ,(c) a year ,(d) in completion period,C,(10.3.14),,
 143. A report of verification of unused balances of the materials should be prepared by the ,(a) Sub-divisional officer ,(b) DO ,(c) Store Superintendent ,(d) Engineer-in-charge of work,A,(10.3.14),,
 144. Form for of verification of unused balances of the materials shall be laid down by ,(a) Chief Controller of Accounts in consultation with Administrative Min/Deptt. ,(b) Administrative Min/Deptt. in consultation with Chief Controller of Accounts ,(c) Controller General of Accounts in consultation with Administrative Min/Deptt. ,(d) CAG in consultation with Administrative Min/Deptt.,B,(10.3.14),,
" 145. Whether true or false A verification of the unused balances of materials must invariably be made on the completion of a work, but on or before the completion of a work, when no more materials are required for use in construction ",(a) True ,(b) False,,,A,(10.3.15),,
" 146. Once the verification of the unused balances of materials is completed, the first step taken should be ",(a) disposal of deficient materials ,(b) disposal of surplus material ,(c) disposal of damaged materials ,(d) disposal of material with changed description,B,(10.3.15),,
 147. Fill in the blanks If the gazetted officer or subordinate in direct charge of a work is transferred before the accounts of it are closed the unused materials at site of the work should be verified by the _________in company with the ___________ ,"(a) Relieving Officer, Relived Officer ","(b) Relived Officer, Relieving Officer ","(c) Relieving Officer, SDO ","(d) Relived Officer, SDO",A,(10.3.16),,
 148. Report of verification of unused store at site of the work in case of transfer of the gazetted officer or subordinate in direct charge of a work is prepared by ,(a) Relieving Officer ,(b) Relived Officer ,(c) SDO ,(d) DO,C,(10.3.16),,
 149. Report of verification of unused store at site of the work in case of transfer of the gazetted officer or subordinate in direct charge of a work is submitted to ,(a) Relieving Officer ,(b) Relived Officer ,(c) SDO ,(d) DO,D,(10.3.16),,
" 150. Pick the incorrect one regarding it is not necessary that the balance should be verified at the close of the year, if ",(a) the work has been under construction for not more than three months ,(b) the accounts of the works are expected to be closed within three months ,(c) the accounts of the works are expected to be closed within six months ,(d) the balances were verified at any time during the year.,C,(10.3.17),,
" 151. After the completion of a work, materials issued by the Department, theoretical calculations of all the items of materials used on the work should be made in the Register showing the clearance of Suspense head ",(a) Materials ,(b) Contractor-Other Transactions ,(c) Work Charged Establishment ,(d) Contingency (work),A,(10.3.18),,
 152. Register showing the clearance of Suspense head “Material” is maintained in form ,(a) CPWA 35 ,(b) CPWA 36 ,(c) CPWA 37 ,(d) CPWA 38,D,(10.3.18),,
" 153. On the basis of theoretical calculations, the sub-head “Materials” should be cleared by debiting the cost of materials to the work at the ",(a) Prevailing issue or market rate at the time of completion of work as the case may be ,(b) Prevailing issue or market rate at the time of issue or purchase of material as the case may be ,(c) Issue or market rate at the beginning of financial year ,(d) Any of the above at the discretion of the DO,A,(10.3.18),,
" 154. A materials-at-site account, Form CPWA 35 should not ordinarily be kept for ",(a) When work is being departmentally ,(b) Deposit work ,(c) minor works ,(d) minor repair works,D,(10.3.19),,
" 155. The account of all the transactions relating to a work during a month whether in respect of cash, stock or other charges is called ",(a) Budget Estimate ,(b) Work Abstract ,(c) Classified Abstract of Works ,(d) Contractor’s Ledger,B,(10.5.1),,
 156. Work Abstract is prepared in form ,(a) CPWA 31 ,(b) CPWA 32 ,(a) CPWA 33 ,(d) CPWA 34,C,(10.5.1),,
 157. Work Abstract in form CPWA 33 is prepared by ,(a) Engineer-in-Charge work ,(b) SDO ,(c) DA ,(d) DO,D,(10.5.1),,
 158. Work Abstract is categories into three heads. Pick the correct one ,"(a) Final, Suspense and Contingency ","(b) Cash, Stock and Transfer ","(c) Major, Medium and Minor ","(d) Capital, Revenue and grant",A,(10.5.1),,
 159. Material issued to a contractor on labour rate and direct to work is shown in the Work Abstract under the head ,(a) Final ,(b) Suspense ,(c) Contingency ,(d) Addl. Charges for material,A,(10.5.1) sub-head Material,,
 160. The category “Suspense Accounts-Contractor” will contain the following. Pick the incorrect one ,(a) Contractors-Other Transaction ,(b) Contractors- Advance Payments ,(c) Contractors -Secured Advance ,(d) Contractors-Material,D,(10.5.1),,
" 161. In Works Abstract CPWA 33, the suspense accounts consists four sub-accounts. Pick the incorrect one ",(a) Labour ,(b) Contractor ,(c) Work Direct ,(d) Material (e) Land Acquisition,C,(10.5.1),,
 162. Works Abstract encompasses the transactions relating to a work taken place during the ,(a) Day ,(b) Month ,(c) year ,(d) Schedule completion of the work,B,(10.5.1),,
 163. Works Abstract is not necessarily to be maintained in case of ,(a) Non-Government Work ,(b) Petty works ,(c) Deposit works ,(d) Local Loan works,B,(10.5.1),,
" 164. The estimate, account and completion certificate of petty should be prepared on a single form ",(a) CPWA 30 ,(b) CPWA 31 ,(c) CPWA 32 ,(d) CPWA 34,C,(10.5.1),,
 165. CPWA 32 is ,(a) Petty Works Requisition and Account ,(b) Petty Works Accounts ,(c) Petty Work Abstract ,(d) Mini-Works Abstract,A,(10.5.1),,
" 166. State whether true or false Percentage charges on account of establishment, Tool and Plant, Accounts and Audit and Pensionary Charges levied on works Expenditure should not be shown in Works Abstract and Register of Works, Form CPWA 40, because they are eventually not included in the cost of works. ",(a) True ,(b) False,,,B,(Note below 10.5.1) eventually included in the cost of work,,
" 167. Ordinarily there should be one Works Abstract monthly for each working estimate, but more than one works abstract is permissible for ",(a) Non-Government Work ,(b) Major work costing above Rs. 50 lakh ,(c) Larger work estimate with several sub-heads ,(d) Local Loan works,C,(10.5.2),,
 168. Find the incorrect one regarding when a sanctioned method of execution of a work is decided to be changed ,(a) The original abstract should be recast in accordance with the proposed method ,(b) The details of cost and quantities already approved by competent authority should be rearranged ,(c) The revised abstract should be approved by the Superintendent Engineer ,(d) After approval the same will be treated as the sanctioned abstract of the estimate for all accounts purposes.,C,"(10.5.4) Approval by DO, not SE",,
" 169. Pick the correct one regarding the accounts of the work in the Works Abstract should ordinarily exhibit:- (i) “amount” i.e., total charges finally classified under the relevant categories, (ii) percentage of the progress of work compared with the amount technically sanctioned and time allowed. (iii) Additional amount required for completion of work (iv) “rate of cost”, i.e., cost per unit on the basis of the recorded “amount” and “progress”. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) All of the above,B,(10.5.6),,
" 170. During the progress of the work, the expenditure recorded in the works abstract shall be ",(a) Exclusive of cost of material ,(b) Inclusive of cost of material ,(c) Exclusive of cost of material & labour ,(d) Inclusive of cost of material & labour,A,(10.5.7),,
" 171. On the completion of the work, the gross cost of sanctioned work, inclusive of the cost of materials, should be recorded in the ",(a) Works Abstract ,(b) Budgetary estimates of works ,(c) Register of Works ,(d) Contractors’ Ledger,C,(10.5.7),,
" 172. State whether true or false In order to ensure proper maintenance of Form CPWA 35, two alternate registers may be maintained, one being submitted in Original to the Divisional Officer along with the Works Abstract for payment and the other used in the next month. ",(b) True ,(b) False,,,A,(Note below 10.5.7),,
" 173. Pick the correct one (i) The charges classified under a suspense sub-head should include all ordinary expenses incidental to construction. (ii) If any part of a work is pulled down and rebuilt to any serious extent, the extra charge for construction should ordinarily be debited to the sub-head concerned. (iii) In case the amount involved be so large as to affect sensibly the cost or rate of the sub-head, it may be debited to the sub-head “Contingencies” (iv) A new sub-head additional to the original sanctioned subheads of the estimate with the sanction of the competent authority may also be created to account for such expenditure ","(a) i, ii and iii ","(b) i, ii and iv ","(b) ii, iii and iv ",(d) All of the above,D,(10.5.9),,
 174. In the accounts of Major Estimates a separate sub-head to encompass additional expenditure for Materials issued to Contractors/Direct to Works” to be created that shall be ,(a) Final head ,(b) Suspense head ,(c) Contingency head ,(d) Special contingency head,A,(10.5.10),,
 175. The sub head “Additional charges for Materials issued to Contractors/Direct to Works” should be opened for the record of under-mentioned debits/credits. Pick the incorrect one ,(a) Difference between the rates charged to the contractors and the actual cost to Government ,"(b) Carriage and incidental charges in connection with the materials issued to contractors, if chargeable to the work. ",(c) Balances outstanding under the suspense head “Materials” after transferring the cost of material to the final heads. ,(d) Fine and penalty for defect of work done.,D,(10.5.10_i to iii),,
" 176. The cost of materials issued direct to work, either executed departmentally or through a Contract for labour only is accounted for in the Works Abstract under the sub-head ",(a) Material ,(b) Contractor-Other Transaction ,(c) Contractor-Advance Payment ,(d) Contingency,A,(10.5.12_1),,
 177. All debits or credits other than advance payment and secured advance to contractors whose contract is for finished rate of items shall be recorded in the Works Abstract under the sub-head ,(a) Contingency ,(b) Final Charges for issue of material ,(c) Miscellaneous Work Advances ,(d) Contract-Other Transactions,D,(10.5.4_2 to 4),,
 178. Unpaid wages of labourers on Muster Roll and of their subsequent payment shall be recorded in the Works Abstract under the sub-head ,(a) Contingency ,(b) Final Charges for issue of material ,(c) Labour ,(d) Contract-Other Transactions,C,(10.5.4_5),,
 179. Unpaid wages of work charged establishment and of their subsequent payment shall be recorded in the Works Abstract under the sub-head ,(a) Contingency ,(b) Contract-Other Transactions ,(c) Labour ,(d) None,D,,,
 180. Advance payments to the Land Acquisition Officers and of their subsequent adjustments are recorded in the Works Abstract under the sub-head Land Acquisition is a ,(a) Final Accounts ,(b) Suspense Accounts ,(c) Contingency ,(d) Misc. Work Advances,B,(10.5.21),,
 181. The Suspense account “Materials” in the Works Abstract cleared ,(a) Monthly during progress ,(b) On completion of work ,(c) As and when desires ,(d) Never,D,(10.5.13) final charges transferred to the Register of Works,,
 182. When closing the account of the work the Suspense account “Materials” in the Works Abstract is cleared by transferring the charges to the final charges of work in ,(a) Budget Estimate ,(b) Work Abstract ,(c) Register of Works ,(d) Contractor,C,(10.5.13),,
 183. The responsibility for clearing the suspense head Material of the work abstract rests with ,(a) Engineer-in-charge of work ,(b) SDO ,(c) Store Superintendent ,(d) DO,D,(10.5.13),,
 184. State whether true or false Advance payments made to a contractor should be charged of as final outlay on the work under the sub-head “Contractors – Advance Payments” ,(a) True ,(b) False,,,B,(10.5.14) Suspense not final,,
" 185. State whether true or false Advances made to contractors and suppliers whether on the security of materials or otherwise as well as all recoverable payments made under proper authority to labourers and others on behalf of contractors, should be treated as advances made on account of the work concerned and accounted for in Miscellaneous Works Advances ",(a) True ,(b) False,,,B,(10.5.15) Contractor-Other Transaction,,
 186. Pick the incorrect one ,(a) The head “Contractors – Other Transactions” and “Labourers” are intended for watching the ultimate payment of the unpaid balances of contractors’ accounts and the clearance of the unpaid wages of labourers respectively ,"(b) If a Running Account Bill or Muster Roll is only partly paid, the total amount due thereon as value of work done or supplies made should be brought to account in the Works Abstract as final charges ",(c) The amount remaining unpaid should be shown as a minus entry in the appropriate suspense column – “Contractors – Other Transactions” or “Labourers” as the case may be. ,(d) Amount excess paid is accounted for in Contractor-Advance Payment.,D,(10.5.16),,
" 187. Fill in the blanks If any wages of labourers remain unpaid after the completion of a work, the accounts of the work may be kept open for a period of ________month, which may be extended to ______months at the discretion of the Divisional Officer. ","(a) One, Two ",(b) One Three ,"(b) Three, Six ","(d) Three, twelve",B,(10.5.18),,
" 188. Pick the correct ones (i) After the completion of a work, the accounts of the work may be kept open for a period of one month, which may be extended to three months at the discretion of the Divisional Officer. (ii) Thereafter, the accounts of the work should be closed, the balance under the suspense head “Labourers” being left unadjusted. (iii) The amount outstanding should be shown in any completion Report or Statement, Form CPWA 44 or CPWA 45 as the case may be (iv) A special remark, as a liability against the work and it should be included in the total expenditure on the work, so as to arrive at the amount actually brought to account. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,A,(10.5.18) iv- should be excluded and not included,,
" 189. If unpaid wages of labourers are claimed and paid subsequently to the closing of the account of a work, the payment should ordinarily be charged against ",(a) the old estimate ,(b) the fresh estimate under the same head of service as the original work ,(c) Either at the discretion of DO ,(d) Contingency,B,(Note below 10.5.18),,
" 190. If unpaid wages of labourers paid subsequently to the closing of the account of a work, suitable Note being recorded by the Divisional Office against the closing entry relating to the original work in the ",(a) Works Abstract ,(b) Register of Works ,(c) Classified Abstract of works ,(d) Monthly Accounts,B,(Note below 10.5.18),,
" 191. Pick the correct ones (i) If a contractor does not take final payment for more than one month after the final bill has been passed the amount of the work as passed on the bill should be incorporated in the Works Abstract on the authority of the bill. (ii) The balance due to him should be removed from the accounts of the work by credit to the Major Head “8443-Civil Deposits. (iii) Simultaneously, the Major Head “8550”-Civil Advances shall also be credited with the similar amount (iv) If a contractor has already been overpaid and an immediate recovery is not practicable, the balance should be removed by debit to the sub-head “Miscellaneous Works Advances” under the Major Head “799-Suspense” below the functional Major/sub-Major Heads of Account. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) All of the above,B,(10.5.19),,
" 192. When the unclaimed amount of a contractor is credited to the head “P.W.Deposits and subsequently a decree from a court is issued, the amount charged on the Consolidated Fund of India shall be ",(a) the amount in excess of deposit held ,(b) Entire amount of decree ,(c) the amount held in deposit ,(d) Amount held in deposit plus applicable interest from date of deposit till decree,B,(Note below 10.5.19),,
" 193. Whether true or false While making payment in satisfaction of the court decree, the amount standing to the credit of the contractor under P.W.Deposits, should however, be left unadjusted. ",(a) True ,(b) False,,,B,(Note below 10.5.19),,
 194. Whether true or false A refund of security deposit of revenue is made in satisfaction of a court decree cannot be treated as an item of expenditure within the meaning of Article 12(3) (f) of the Constitution of India. ,(a) True ,(b) False,,,A,(Note below 10.5.19),,
 195. The statement headed “Detail of Contractors closing balance” in the Works Abstract and the record of unpaid wages should be examined by disbursing officer ,(a) weekly ,(b) monthly. ,(c) quarterly ,(d) Annually,B,(10.5.20),,
 196. Pick the incorrect one ,"(a) Advance payments made by the Divisional Officers to the Land Acquisition Officer will be debited directly to the suspense account, “Land Acquisition” within the Works Accounts till the possession of land is received or intimation of actual payment to the owners of land is received. ","(b) This suspense head will be cleared by the Divisional Officers on receipt of the accounts along with the Land Award Statements, vouchers etc. from the Land Acquisition Officers ",(c) Clearance by debit to the final head “Acquisition of Land” in the accounts of work and credit to the suspense head “Land Acquisition”. ,"(d) If there is any delay in the land acquisition proceedings and final payment of compensation etc., the accounts of work can be closed by clearing and adjusting the amount under suspense account “Land Acquisition”.",D,(10.5.21) should be left unadjusted,,
" 197. Liabilities are not incorporated in the accounts of works, except in the following cases; pick the incorrect one ",(a) Unpaid balances of partly paid running account bill or must rolls are invariably incorporated. ,(b) Amount paid in excess to contractors/suppliers for work done or supplies made ,"(c) The value of materials received from sources other than stock (including manufacture) and payments to the suppliers and adjustments crediting the transfer accounts concerned, may not be made at once ",(d) Wholly unpaid muster rolls and bills of contractors and suppliers are sometimes taken to account.,B,(10.5.22_a to c),,
 198. The Works Abstract should be prepared in the ,(a) Sub-Divisional Office ,(b) Divisional Office ,(c) Circle Office ,(d) Pay and Accounts Office,B,(10.5.24),,
 199. Pick the incorrect one regarding writing up of a work abstract ,"(a) It should be posted monthly from the Cash Book and the connected bills of contractors and suppliers, cash refunds. ","(b) At the end of Month, Stock and adjustment transactions should be added, write back final charges being posted as minus entries ",(c) The closing balances of contractor’s accounts should be cross checked with the balance as per the ledger accounts of the contractors. ,(d) The closing balances arrived at under the suspense head labourers in each case should be agreed with the connected record of unpaid wages and its correctness should be got ensured from the Sub-divisional Officer.,A,(10.5.24) posted day by day and not monthly,,
 200. The Works Abstract should be checked and closed under the supervision of the ,(a) Engineer-in-charge ,(b) SDO ,(c) Divisional Accountant ,(d) Divisional Officer,C,(10.5.24),,
" 201. All the Works Abstract of a month, finally completed in all respects should be examined monthly by the Divisional Officer and any explanations necessary called for from ",(a) Engineer-in-charge ,(b) SDO ,(c) Divisional Accountant ,(d) Contractor concerned,B,(10.5.25),,
" 202. The permanent and collective record of the expenditure incurred in the division, during a year, on each work is the ",(a) Budget and work estimate ,(b) Work Abstract ,(c) Register of Works ,(d) Classified Abstract of Works,C,(10.6.1_a),,
 203. Register of Works is maintained in form ,(a) CPWA 38 ,(b) CPWA 40 ,(c) CPWA 44 ,(d) CPWA 45,B,(10.6.1_a),,
 204. Register of Works is maintained ,(a) At site of work ,(b) in SD Office ,(c) in Divisional Office ,(d) in Circle Office,C,(10.6.1_a),,
 205. Pick the correct one regarding petty works ,(a) Not to be maintained in Register of Works but only in Works Abstract ,(b) to be maintained in both Register of Works and Works Abstract ,"(c) to be maintained in CPWA 32, Petty Work Requisition and Accounts ",(d) Both b & c,C,(10.6.1_a),,
 206. The Registers of Works are posted ,(a) daily ,(b) weekly ,(c) monthly ,(d) as and when a transaction takes place.,C,(10.6.2),,
 207. The Registers of Works are posted ,(a) Contractor’s Ledger ,(b) Cash Book ,(c) Memorandum of Payment ,(d) Work Abstract,D,(10.6.2),,
" 208. The posting of the Registers of Works, Form CPWA 40 should be completed and the Registers should then be laid before the Divisional Officer for review before ",(a) the close of month ,(b) before the date of submission of the monthly accounts to the Pay and Accounts Officer ,(c) before effecting any transfer entry ,(d) completion of work within schedule time,B,(10.6.3),,
 209. The monthly account of each work on which there has been expenditure during the month should be dated initialled by the Divisional Officer in token of his having examined the entries and found them correct ,(a) at the top of the register ,(b) at the foot of the register ,(c) in the column set apart for the purpose ,(d) In the summary of the month,C,(10.6.3),,
 210. Work-slip is prepared for actual and probable excess in ,(a) Total cost of work ,(b) rate of cost ,(c) either a & b or both ,(d) neither a & b,C,(10.6.3),,
 211. works-slips should be prepared in Form ,(a) CPWA 37 ,(b) CPWA 39 ,(c) CPWA 41 ,(d) CPWA 42,B,(10.6.3),,
 212. Fill in the blanks Works slips in Form CPWA 39 should be prepared by________ and submitted to the __________ ,"(a) SDO, DO ","(b) DA, DO ","(c) DO, PAO ","(d) DA, Superintending Engineer",D,(10.6.3),,
" 213. Whether true or false If the transactions of a division are very large, the Divisional Officer may allow an extra period of a few days for the completion of the Register of Works, Form CPWA 40 and so the submission of the monthly accounts to the Pay and Accounts Officer should be delayed on this account. ",(a) True ,(b) False,,,B,(10.6.3) submission of monthly accounts should not be delayed on this account,,
" 214. If there is necessarily and delay in closing the accounts of a work, no further charges are incurred without the permission of the ",(a) SDO ,(b) Divisional Officer ,(c) SE ,(d) DG (Works),B,(10.6.4),,
" 215. Before permitting the accounts of the work to be closed, which head/sub-head should receive special attention of the DO and also investigation if necessary by him? ",(a) Material ,(b) Contract-OT ,(c) Land Acquisition ,(d) Addl. Charges for issue of materials,D,(10.6.7),,
 216. The accounts of annual maintenance estimates must be closed on the last working day of the month fixed by the ,(a) Administrative Ministry/Administration concerned ,(b) DG (Works) ,(c) SE ,(d) Pay & Accounts Office,A,(10.6.8),,
 217. Whether true or false The expenditure on account of annual maintenance incurred in the next working year should be treated as expenditure against the annual maintenance estimate for that year ,(a) True ,(b) False,,,A,(10.6.8_1),,
" 218. The suspense accounts of the work should be closed by transferring the balances of all those accounts to the general suspense accounts “Public Works Deposits” or “Miscellaneous Works Advances”, as the case may be ",(a) On the last day of the month ,(b) in the last month of the working year ,(c) On the last day of the following month of current working year ,(d) in the last month of the following working year,B,(10.6.8_2),,
 219. Pick the incorrect one regarding Register of Works ,(a) When the work is completed and the accounts of it have been settled and written up a double red ink line should be ruled below the final entries. ,(b) A note made in red ink “Work completed in ……20” should be made. ,"(c) This note should be signed by the Engineer-in-charge and it will be the authority for treating the accounts of the work as closed, and a work should not be reported as completed in the divisional accounts unless this authority has been placed on record. ","(d) If it is a Deposit Work, steps should be taken promptly to surrender the unexpended balance with the approval of the Divisional Officer.",C,(10.6.9_a & b) note to be signed by the DO,,
" 220. If the total expenditure on the work is in excess of the sanctioned estimate and the excess is passed by the Divisional Officer under his power, the words added to the completion note recorded should be ",(a) Excess passed by me ,(b) Excess paid by me ,(c) Excess accepted by me ,(d) Excess incorporated in estimate by me,A,(10.6.10),,
" 221. If amount in excess of sanctioned estimate is not within the Divisional Officer’s powers to deal, a report should be prepared in ",(a) CPWA 44 ,(b) CPWA 45 ,(c) Either a or b as the case may be ,(d) A simple statement,C,(10.6.11),,
 222. Addition of the words in the completion note in the Register of Works “Work completed in ….20 Completion Report statement submitted with this office letter No. dated 20” when ,(a) the excess is within the Divisional Officer’s powers to deal with ,(b) the excess is not within the Divisional Officer’s powers to deal with ,(c) the work is completed within the schedule time of completion ,(d) the work is not completed within the schedule time of completion,B,(10.6.11),,
 223. The orders passed subsequently by higher authority on the excess reported in the Completion Report or Statement should also be noted in the ,(a) Estimates of work concerned ,(b) Work Abstract ,(c) Register of Works ,(d) Standard Measurement Book,C,(10.6.11),,
 224. The closed accounts of a work may be reopened in order to rectify the error or omission unless the amount involved is ,(a) ten rupees or more ,(b) not more than ten rupees ,(c) fifty rupees or more ,(b) not more than fifty rupees,B,(10.6.12),,
" 225. State whether true or false Where the amount of error involved in respect of the account of a closed work is below the prescribed limit say Rs. 10 or less, no rectification or omission of error is permissible. ",(a) True ,(b) False,,,B,(10.6.12) in such case rectification/omission by adding a note alone.,,
