1. CAG’s Standing order on Auditing in IT Environment was issued in ,(a) August 2020 ,(b) August 2019 ,(c) April 2020 ,(d) April 2019,A ,,,
"125. Sufficient and appropriate evidence to support the resulting findings, conclusions and recommendations could be ensured through a forwarding letter from the audited entity, which specifies ",(a) The source (through reference to time stamp of generation of the data dump/ hash number for the data dump) of the data ,"(b) The parameters of extraction used to create the data dump, i.e. queries used/ reports run. ","(c) If such a forwarding letter from the audited entity is not received, internal documents may be generated by the Auditors noting important information such as the date on which the data was handed over, from what file the data dump was created, and whether the data was from the production environment or from some other environment, etc.",(d) All of the above.,D ,,,
126. The objective of the assignment for audit of IT systems with regard to the entirety of audit objectives and audit scope is to provide ,(a) assurance ,(b) materiality ,(c) risk assessment ,(d) All of the above,A ,,,
127. A Management Letter should be issued to the Government by ,(a) the Head of Department ,(b) by audit officer/group officer with the approval of the Head of Department ,(c) Either A or B ,(d) Headquarter Office.,C ,,,
128. Pick the incorrect one ,"(a) Management Letter should describe the audit findings, conclusions and recommendations vis?à?vis the audit scope and entire set of audit objectives ","(b) Audit objectives in respect of which instances of non?compliance were NOT found, should NOT be reflected in the Management Letter. ","(c) The objective of the Management Letter should be to provide assurance with regard to what was covered in audit, and not merely a list of deficiencies.",(d) Not of the given,B ,,,
129. Pick the correct one ,"(a) IT assisted audits involve the use of various IT tools including, but not limited to, traditional data analysis tools also referred to as Computer Assisted Audit Techniques (CAATs)) and data analytics/ big data analytics for supporting the achievement of the audit objectives. ","(b) Such analysis or analytics is applied on data provided by the auditable entity, which may be available in a variety of structures and formats, as well as external or third party data. ",(c) Both A&B ,(d) None of the given,C ,,,
130. The IT?assisted audits are applied where the objective of use of IT tools is ,(a) primarily to derive assurance with regard to the IT system through assessing the adequacy and effectiveness of IT and non?IT controls ,(b) primarily NOT to derive assurance with regard to the IT system through assessing the adequacy and effectiveness of IT and non?IT controls ,(c) Both A&B ,(d) Either A or B,B ,,,
131. State whether true or false IT?assisted audits are treated differently from audit of IT systems. ,(a) True ,(b) False,,,A ,,,
132. Pick the correct one ,(a) Traditional data inquiry and analysis tools (typical CAATs) usually involve exception?based queries. ,"(b) Going beyond such exception?based queries, data analytics is the application of data science approaches to gain insights from data. ","(c) It involves a sequence of steps starting from collection of data, preparing the data and then applying various data analytic techniques to obtain relevant insights.",(d) All of the above,D ,,,
133. In the context of audit Data analytics or big data analytics ,(a) could also involve creating a risk score for individual transactions based on static or dynamic parameters and with use of Machine Learning or Deep Learning. ,(b) could also involve creating a risk score for individual transactions based on static or dynamic parameters and with or without use of Machine Learning or Deep Learning. ,(c) could not involve creating a risk score for individual transactions based on static or dynamic parameters and with use of Machine Learning or Deep Learning. ,(d) could not involve creating a risk score for individual transactions based on static or dynamic parameters and with or without use of Machine Learning or Deep Learning.,B ,,,
134. Pick the correct one ,"(a) A third party audit may be sufficient, if it provides an appropriate degree of assurance about the adequacy and effectiveness of controls and thus the integrity, non-repudiability and reliability of data in such IT systems. ","(b) Depending on the gaps in automation, the level of offline documentation, and the adequacy and effectiveness of controls, the reliability of findings through data analysis/ analytics may need to be validated through field examination and verification of a sample of cases. ",(c) Both A&B ,(d) None of the given,C ,,,
