 111. The adjustment in the plus and minus memorandum should be carried out by reducing the opening balance in the month of April after the Supplementary Accounts are closed by the AG and till such time the opening balance should be treated as ,(a) transitional ,(b) provisional ,(c) final ,(d) supplementary,B ,
 112. A statement of cash orders which are held as lapsed under the rules of Government should be prepared ,(a) Annually ,(b) half-yearly ,(c) monthly ,(d) quarterly,C ,
 113. Statement of cash orders which are held as lapsed should specify ,"(a) In the case of cash orders issued for service payments, the number and date of the vouchers in which the charges were drawn originally and the name of the officer by whom they were drawn ","(b) In the case of cash orders issued on behalf of a Ward's Estate or Municipality, the number and date of the cheques. ",(c) Both A&B ,(d) None of the given,C ,
 114. The total amount of cash orders lapsed included in the monthly statement should be ,(a) deducted from the closing balance in the plus and minus memorandum ,(b) added to the closing balance in the plus and minus memorandum ,(c) deducted from the closing balance in RBI Deposit ,(b) added to the closing balance in RBI Deposit,A ,
 115. When cash order is lapsed and included in monthly accounts remarks that should be noted in the concerned ledger should be ,(a) cash order lapsed ,(b) Item reported to AG for adjustment ,(c) item adjusted ,(d) item removed,B ,
 116. A statement in Form I. S.T. 38 showing Central Civil Transactions i.e. other than of Railways Postal and Defence Departments should be forwarded to AG ,(a) by a State non-bank treasury on 10th and last day of the month ,(d) by a State bank treasury on 15th and last day of the month ,(c) Both A&B ,(d) by a State treasury whether bank or non-bank treasury on 10th and last day of the month,A ,
" 117. With regard to submission of IST 38 if the prescribed date of forwarding happens to be a holiday, the same should be forwarded on ",(a) next working day ,(b) previous day ,(c) with next two working days ,(d) A or B as directed by the Government.,B ,
 118. Convenient intervals for Submission of Statement showing Central Transaction in IST 38 may be settled between ,(a) Central Govt. and State Govt. ,(b) Central Govt. and AG ,"(c) Central Govt., State Govt. and AG ",(d) AG and State Govt.,D ,
 119. Statement showing Central Transaction in IST 38 should ,(a) accompany supporting vouchers ,(b) not accompany supporting vouchers ,(c) accompany supporting vouchers if amount exceed the prescribed limit ,(d) All of the above,B ,
 120. The first schedules of payments with connected vouchers and a Memorandum in Form I.S.T 39 should be sent to the Accountant General on the ,(a) by both bank and non-bank treasury on 10th of the month ,(b) by both bank and non-bank treasury on 11th of the month ,(c) by non-bank treasury on 10th and bank treasury on 11th of the month ,(c) by non-bank treasury on 11th and bank treasury on 10th of the month,C ,
 121. Cash Account and the List of Payments with supporting schedule and the connected vouchers together with the Memorandum in Form I.S.T. 39 should be despatched to AG on ,(a) 1st day of following month ,(b) 3rd of the following month ,(c) 5th day of following month ,(b) 10th of the following month,A ,
 122. The Cash Accounts and List of Payments for March with supporting schedules and the connected vouchers together with memorandum in Form I.S.T. 39 should be despatched to the Accountant General not later than the ,(a) 6th April of the following year ,(b) 5th April of the following year ,(c) 10th April of the following year ,(d) 12th April of the following year,A ,
 123. The prescribed schedules of payment relating to Pension transactions pertaining to Railways are sent along with vouchers to ,(a) Accountant General ,(b) Railway Board ,(c) concerned Railway zone ,"(d) CAS, RBI Nagpur",C ,
 124. In respect of Postal and Defence transactions the prescribed schedules of payment with vouchers should be sent ,(a) direct to the Postal and Defence Accounts Offices concerned ,(b) direct to the Controller General of Accounts ,(c) Accountant General for onward submission to the Postal and Defence Accounts Offices concerned ,(d) Accountant General for onward submission to the Controller General of Accounts,A,
 125. Prescribed schedules of Receipts in respect of the Postal and Defence Departments should be sent by the Treasury to ,(a) the Postal and Defence Accounts Offices on 7th and last day of month with Copies/extract to the AG ,(b) the Postal and Defence Accounts Offices on 10th and last day of month with Copies/extract to the AG ,(c) the AG on 7th and last day of month with Copies/extract to the Postal and Defence Accounts Offices ,(d) the AG on 10th and last day of month with Copies/extract to the Postal and Defence Accounts Offices,B ,
 126. Pick the correct one ,(a) The schedules relating to Postal and Defence transactions should be 'prepared in triplicate. ,(b) Two copies along with supporting vouchers are sent to respective accounts office and third copy to AG with Cash Account/ List of payment ,(c) Both A&B ,(d) None of the above,C ,
 127. The Cash Account should be signed and certified by the ,(a) Treasury Officer ,(b) Collector ,(c) Accountant General ,(d) Secretary Finance Department,B ,
" 128. If collector is absent on tour or otherwise unable to sign the cash accounts on the first of the month, it should be signed by such other officer to whom the duty may be entrusted under rules made by the ",(a) Collector ,(b) Accountant General ,(c) State Govt. in consultation with AG ,(d) State Government,D ,
 129. The Plus and Minus memoranda should be accompanied by a certificate of actual weighment of stock in the treasury and the sub-treasuries subordinate to it in respect of ,(a) Opium transaction ,(b) Match Excise transaction ,(c) Precious metal transaction ,(d) All of the above,A ,
 130. The Plus and Minus memoranda should be accompanied by a certificate of actual weighment of stock in the treasury and the sub-treasuries subordinate to it in respect of opium transaction. The certificate should be given in such form and at such intervals as may be prescribed by ,(a) Accountant General ,(b) State Government ,(c) State Govt. in consultation with AG ,(b) AG in consultation with State Govt.,C ,
 131. State whether true or false In respect of personal deposit a certificate to the effect that the balance claimed by him is of a named amount and detailing his .outstanding cheques in order to explain the difference between his balance and that admitted by the Treasury Officer in his Plus and Minus memorandum should be sent with the Clearance Register from the administrator of every personal ledger account ,(a) True ,(b) False,,,A ,
" 132. In respect of sub -treasury personal ledger accounts, the Treasury Officer should certify that the, credit balance of each sub-treasury personal ledger account agree with the sum of cash orders ascertained to be outstanding ",(a) monthly ,(b) quarterly ,(c) six-monthly ,(d) annually,D ,
" 133. Immediately after 31st March each year, a list of deposits or balance of that year which should also be submitted to the Accountant General in Form I.S.T. 40 duly signed by the ",(a) Treasury Officer ,(b) Collector ,(c) Departmental Officer concerned ,(d) All of the above,B ,
 134. Rules pertaining to accounts of small coin depots apply to ,(a) Small Coin Depots located at treasuries ,(b) Small Coin Depots located a! Currency Offices and ,"(c) at any branch of the State Bank of India, its subsidiaries and nationalised bank maintaining small coin depot ",(d) All of the above.,D ,
 135. The accounts of Small Coin Depots are treated as departmental accounts of the ,(a) RBI ,(b) State Government ,(c) Central Government ,(d) both Central and State Govt.,C ,
 136. The balance in Small Coin Depots is ,(a) not included in the general cash balance of the Central Government. ,(b) included in the general cash balance of the Central Government ,(c) included in the general cash balance of the State Government ,(d) not included in the general cash balance of the State Government.,A ,
 137. Pick the correct ,(a) The accounts and balances of Small Coin Depots located at a treasury should be kept entirely separate from the accounts and balance of the treasury. ,(b) The Currency Officers are regarded as Accounts Officer rendering accounts to the Reserve Bank of India ,(c) Both A&B ,(d) None of the given,A ,
" 138. State whether true or false Small Coin Depot will not be required to send account return to the AG but shall send them to the Currency Officer of the, concerned issue offices of the RBI in whose jurisdiction the Depot falls. ",(a) True ,(b) False,,,A,
 139. The accounts of the depots should be kept in Form ,(a) IST 40 ,(b) IST 41 ,(c) IST 42 ,(d) IST 43,B ,
" 140. A slip in Form IST 42 being a copy of the entry of the transaction in the depot accounts, with the balance before and after it, should be despatched to the Currency Officer concerned on ",(a) each working day whether any transaction takes places or not ,(b) On every day on which transaction occurs ,(c) close of the every month whether any transaction takes places or not ,(d) close of the during which any transaction occurs,B ,
 141. A certificate regarding correctness of balances relating to small coins from the Collection should be submitted to Currency Officer every year in ,(a) January ,(b) March ,(c) April ,(d) May,C ,
 142. Pick the correct one ,(a) A certificate in the prescribed form in respect of the last verification conducted in the preceding financial year should be submitted in April each year. ,(b) The certificate shall be submitted to the Currency Officer with copy to the Accountant General by the Reserve Bank of India ,(c) Both A&B ,(d) All of the above,A ,
" 143. Where any doubt arises as to the interpretation of rules given there in Accounting Rules for Treasury 1992, it shall be referred to ",(a) State Government ,(b) Accountant General ,"(c) Pr. AO, Department of Economic Affairs ",(d) Controller General of Account,D ,
 144. With the commencement of Accounting Rules for Treasury 1992 the provisions given in cease to operate ,(a) Accounts Code Volume I ,(b) Accounts Code Volume III ,(c) Accounts Code Volume II ,(d) Central Treasury Rule 1990,C ,
" 145. Transactions on behalf of Railways, Postal and Defence Departments arising in Treasuries are accounted for under the major head ",(a) 8680 ,(b) 8658 ,(c) 8793 ,(d) 8675,B ,
 146. Pick the correct one ,"(a) Business transacted by Railway, Postal and Defence Departments directly with the RBI and SBI (Including their branches) without the intervention of a treasury will be scrolled to them and taken against the balances of Railway, Postal and Defence Departments held in the Reserve Bank (CAS) Nagpur. ",(b) Such transactions will not pass through treasury accounts. Similar is the case in respect of pension payment relating to Railway and Defence Departments arranged through Public Sector Banks. ,(c) Both A&B ,(d) None of the given,C ,
" 147. Settlement of transactions on account of payment of pensions on behalf of foreign Governments arising at State Treasuries shall be settled from Pr. AO, Department of Economic Affairs ",(a) All foreign Government except Burma ,(b) All foreign Governments except Nepal ,(c) All foreign Government except Bhutan ,(d) All of the above,A ,
 148. Settlement of transactions on account of payment of pensions on behalf of Government of Burma arising at State Treasuries shall be made ,"(a) Accountant General with the Pr. AO, CPAO ",(b) Accountant General directly with the Government of Burma ,(c) Accountant General with the Government of Burma through Pr. AO Department of Economic Affairs ,(d) Accountant General with the Government of Burma through Pr. AO Ministry of Foreign Affairs,B ,
 149. Remittances between two bank treasuries themselves shall ,(a) be accounted for at treasury under the major head 8675 ,(b) be accounted for at treasury under the major head 8782 ,(c) not be accounted for at treasury whether remittance is related to central or state ,(d) be accounted for at treasury under the major head 8999,C ,
 150. Treasurer will prepare a memorandum and forward it to the Accountant at the close of the day’s business when ,(a) Stamp papers are sold ,(b) cash orders are issued ,(c) imprest account is open/recouped ,(d) match excise banderols or opium are sold,D ,
 151. The receipts and disbursements in a State Treasury on the behalf of other State Govt. should be posted in ,(a) same IST 2/3 in which receipts and disbursements of the state are posted ,(b) separate IST 2/3 and not in which receipts and disbursements of the state are posted ,(c) either A or B as decided by the State Government ,(d) either A or B as decided by the Accountant General,B ,
 152. In the statements of the bank the amount of payment are entered on ,(a) net basis ,(b) gross basis ,(c) either A or B ,(d) percentage basis,A,
" 153. From gross totals of receipts and disbursements worked out in the cash book, the deductions and additions are indicated at the ",(a) top of the cash book ,(b) foot of the cash-book ,(c) reverse of the cash book ,(c) left of the cash book,B ,
 154. Each repayment of deposit should ,(a) at once be recorded in Register of Repayments in Form IST 17 ,(b) at once be recorded Deposit Receipt Register in Form IST 16 ,(c) at once be recorded both in the Register of Repayments in Form IST 17 and in Deposit Receipt Register in Form IST 16 ,"(d) at once be recorded in the Register of Repayments in Form IST 17, Deposit Receipt Register in Form IST 16 and Clearance Register in IST 18",C ,
" 155. An account of cash orders issued on sub-treasuries should be maintained, like that of personal Deposits, through a personal ledger for each sub-treasury in ",(a) IST 25 ,(b) IST 19 ,(c) IST 23 ,(d) IST 20,D ,
 156. When Issue-cum-Drawing Schedule Register (IST 22/IST 23) is brought into use ,(a) the portion right to the dotted line should be folded inward at the perforation ,(b) a carbon is placed under it. ,(c) Both A&B ,(d) None of the given,C ,
 157. The daily totals of Register of RBI Remittance Encashed is carried to ,(a) Cash Book ,(b) RBI Deposit Register ,(c) Suspense Register ,(d) Cash Balance Register,A ,
" 158. Where RBI Remittances are drawn by or encashed at sub-treasuries, ",(a) In the Cash Book of the District Treasury the total daily receipts and' payments at each subtreasury will be exhibited under a separate sub-head RBI Remittance-Sub Treasury ,(b) Such receipts and payments should be incorporated in the corresponding Registers of the District Treasury ,(c) Both A&B ,(d) None of the given.,A ,
 159. Where RBI Remittances are drawn by or encashed at sub-treasuries the total drawings and encashments for the day should be intimated by the Sub-treasury Officer to the District Treasury with supporting challan and vouchers. ,(a) True ,(b) False,,,B ,
 160. For payment of interest on Promissory Notes/Stock Certificates shall be maintained in register in Form ,(a) IST 26 ,(b) IST 27 ,(c) IST 28 ,(d) IST 29,C ,
" 161. Accounting Rules for Treasuries, 1992 came into force with effect from ",(a) 1st January 1992 ,(b) 1st April 1992 ,(c) 1st April 1993 ,(d) 1st July 1992,B ,
 162. Pick the correct one ,(a) The form of initial and subsidiary accounts prescribed in Accounting Rules for Treasuries 1992 shall be regarded as standard or model forms which may be modified by Government in relation to its own treasuries according to local requirements in consultation with the Accountant General concerned ,"(b) The Accountant General' concerned may introduce such changes in details, as he may deem necessary, as regards ,accounts returns to be rendered to him. ",(c) Both A&B ,(d) None of the given,C ,
" 163. Bank treasury"" means a treasury, ",(a) which conducts the cash business ,(b) the cash business of which is conducted by the bank ,(c) which conducts the banking business. ,(d) All of the above,B ,
" 164. ""State"" refers to a State in the ",(a) First Schedule to the Constitution ,(b) Second Schedule to the Constitution ,(c) Third Schedule to the Constitution ,(d) Fourth Schedule to the Constitution ,A ,
