 1. The cash and stock accounts of the divisional office for a month are closed on ,(a) Last day of the month ,(b) Last working day of the month ,(c) Last day of the year ,(b) Last working day of the year,B,22.1.1
" 102. State whether true or false If the DO is authorized to refund, without reference to higher authority, fines which have been remitted by a court of law, a copy of the orders of the court should accompany the Schedule of Refunds of Revenue. ",(a) True ,(b) False,,,B ,Original orders and not a copy Note 2_22.4.15
 103. Pick the correct one ,"(a) The Schedules relating to the suspense and deposit accounts, Form C.P.W.A 70, 73 and 79 and the Workshop Suspense Schedule, must be submitted to the Pay and Accounts Officer, month after month, so long as there are balances outstanding under the accounts concerned, whether there have been transactions during the month or not ","(b) The Schedule of Miscellaneous Public Works Advances Form C.P.W.A 70 and the Schedule of Deposits, Form C.P.W.A 79 should however be restricted to the items affected during the month ",(c) Both of the above ,(d) Neither of the above,C ,22.4.16
" 104. In respect of the Schedule of Deposit Works, Form C.P.W.A 65 the Divisional Officer may dispense with the submission every month, of Part II of the Schedule subject to certain conditions, if so authorized by the ",(a) SE ,(b) DG(Works) ,(c) CCA ,(d) AO,D ,22.4.16
" 105. In the Schedule of Miscellaneous Works Advances, Form C.P.W.A 70, for the month other than March, each item may be shown in a lump sum, which do not exceed ",(a) Rs.5 ,(b) Rs.50 ,(c) Rs.100 ,(d) Rs.500,A ,22.4.16
 106. Summing up the items in lump sum In CPWA 70 for the month other than March subject to amount so prescribed is authorised by ,(a) SE ,(b) DG(Works) ,(c) CCA ,(d) PAO,A ,22.4.16
" 107. The Abstract Account of Credits, Debits and Balances of the MPSSA, Form C.P.W.A 69 and the Schedule of MWA, Form C.P.W.A 70 for September and March should be accompanied by a list of items outstanding under the Suspense Heads for ",(a) Six months or more ,(b) more than six months. ,(c) Twelve months or more ,(d) more than twelve months.,B ,Note 1_22.4.16
" 108. The Schedule of transactions adjusted under the Head CSSA”, Form C.P.W.A 76-A for September and March should be accompanied by a statement in Form C.P.W.A 76-B showing the outstanding which are unsettled for ",(a) more than three months ,(b) more than four months. ,(c) more than six months ,(d) more than twelve months.,B ,Ans may be B/C Note 2_22.4.16 & 22.4.24 (b) (ii)
" 109. Pick the correct one regarding non-submission of vouchers with Monthly Accounts (i) Muster rolls or other vouchers in support of payments to labourers irrespective of the amount (ii) Vouchers in support of payments of wages to class IV staff of the work charged establishment other than on regular establishment (iii) Other cash vouchers, relating to works (other than running/final account bills of Contractors/Suppliers) and contingencies, the amount of which do not exceeds Rs.1000/-. (iv) Invoices or other vouchers in acknowledgement of issues of stock materials excluding issues of outturn from Manufacture to Stock. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,C,"22.4.17 (a) (i to iv),  including issues of outturn"
 110. State whether true or false Vouchers in support of payments made for the conversion of cash deposits into interest-bearing securities in cases in which no vouchers other than the security itself or a safe custody certificate of the security exists is exempted from submission to PAO along with Monthly Accounts ,(a) True ,(b) False,,,A ,22.4.17 (v)
" 110A. Pick the correct one (i) Transfer entry orders involving debits to remittance heads other than in respect of expenditure on works. Those relating to charges which are supported by vouchers received in transfer is exempted from submission to PAO along with Monthly Accounts (ii) When a voucher is exempted from submission to the Pay and Accounts Officer, the reasons should be noted against the entry of its amount in the Schedule docket or in the Schedule of works expenditure (iii) All vouchers (other than Muster Rolls) in support of debits to Contractors should be submitted to the Accounts Officer even though falling under any of the exceptions. (iv) The Land Award Statements, the vouchers and the accounts etc., with the Transfer Entry order should be submitted to the Accounts Officer. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D ,22.4.17(a) (vi) (b) (c)
 111. Pick the incorrect one ,(a) All Survey Reports of Stores (Form C.P.W.A 18) and Sale Accounts (Form C.P.W.A 19) must also accompany the Monthly Account. ,"(b) Sale Accounts in support of cash credits to Stock should be attached to the Stock Account, Form C.P.W.A 73 ",(c) Survey Reports and Sale Accounts in support of other credits to Stock should be attached to the schedule dockets pertaining to the works or ,"(d) Accordingly, all Tools and Plant indents Form C.P.W.A 14, should accompany the monthly accounts",D ,Not of all T&P but only special T&P 22.4.17 (d)
" 112. Pick the correct one (i) The DO is required to sign not only the Monthly Account but also all the schedules etc., accompanying it. (ii) It is not necessary that the Divisional Accountant should sign all these documents; he must, however, sign the Monthly Account and the List of Accounts Form C.P.W.A 83, (iii) When the DO is absent from HQ at the time of submission of MONTHLY Accounts, as soon as he can examine his books and papers on return, a report in Form C.P.W.A 84 (with a duplicate copy of the Monthly Account signed by himself) shall be submitted to PAO (iv) Without this report the PAO will not pass the Monthly Account finally. ","(a) i, and ii ",(b) iii and iv ,"(c) i, ii and iii ",(d) All of the above,B ,(i) DA not DO (ii) DO not DA 22.4.18
 113. State whether true or false The Contingent Bill must invariably be signed by the Divisional Accountant ,(a) True ,(b) False,,,B ,By DO 22.4.18
 114. Pick the correct regarding special attention in connection with the accounts for March ,(a) The entry of the closing cash balance should be supported by the original cash Balance Reports (Form C.P.W.A 5) of all Disbursing Officers including the Divisional Officer ,"(b) A certificate of the Divisional Officer to the effect that he has obtained on or after 31st March and retained in his office an acknowledgement from the officer or subordinate concerned, in respect of each item of imprest or temporary advance shown in the Cash Balance Reports of the Division for 31st March. ",(c) Both of the above ,(d) Neither of the above,C ,22.4.19
" 115. Before transmission to the Accounts Officer, the Original Cash Balance reports of sub-ordinate disbursing officers should be initialed by the ",(a) SDO ,(b) DA ,(c) DO ,(d) None,C ,Note_22.4.19
" 116. The Schedule of Deposits, Form C.P.W.A 79 should be accompanied by the Account of Interest-bearing Securities, Form C.P.W.A 86, ",(a) Monthly ,(b) Quarterly ,(c) Six monthly ,(d) Annually,D ,22.4.19(d)
" 118. The registers and schedules relating to the suspense and deposit heads of account and the Contractors’ Ledger, Works Abstract, Schedule Docket, Register of Works and License Fee Register should be reviewed ",(a) Monthly ,(b) Quarterly ,(c) Six monthly ,(d) Annually,A ,22.4.20
 119. Special steps should be taken with a view to bring about all possible reductions in the number and amounts of outstanding items at the close of the year ,(a) In Sep or early Oct ,(b) In Dec or early Jan ,(c) In Jan or early Feb ,(d) In Feb or early March,D ,22.4.20
" 120. A consolidated certificate in respect of the balances, other than cash, should be forwarded to the Accounts Officer in Form ",(a) C.P.W.A 88 ,(b) C.P.W.A 89 ,(c) C.P.W.A 90 ,(d) C.P.W.A 91,D ,22.4.20
" 121. The time within the submission of Monthly Accounts for March, a consolidated certificate in respect of the balances, other than cash, should be forwarded to the Accounts Officer ",(a) Two Weeks ,(b) Three Weeks ,(c) Four Weeks ,(d) Six Weeks,D ,22.4.20
" 122. State whether true or false While submitted the consolidated certificate in respect of balances other than cash, if the closing balance under any head is nil, a certificate to this effect should not be furnished. ",(a) True ,(b) False,,,B ,Note_22.4.20
" 123. State whether true or false The March Supplementary should be closed on the 20th May of the following year or on such other date, as may be prescribed by the concerned PAO ",(a) True ,(b) False,,,B ,Prescribed by CCA and not by PAO 22.4.22
 124. The Supplementary Account of the year should be submitted to the Accounts Officer on or before 1st June or any such date prescribed by ,(a) DG (Works) ,(b) Accounts Officer ,(c) CCA ,(d) CGA,B ,22.4.23
 125. Pick the incorrect regarding submission of Misc. Returns to Accounts Officer( Misc. Return: Period of Submission ),(a) Certificate regarding the completion of the Register of Licence Fee Register and revision of Licence Fees in Form C.P.W.A 75-B.: Monthly,(b) Lists of items outstanding for more than six months under the suspense heads ‘Material Purchase Settlement Suspense Account’ and ‘Miscellaneous Works Advances’ alongwith the Monthly Accounts (to be attached to Form C.P.W.As 69 and 70) : Half Yearly ,(c) Statement in Form C.P.W.A 76-B showing the outstanding which are unsettled for more than 4 months under “Cash Settlement Suspense: Accounts” along with the monthly accounts (to be attached to Form C.P.W.A 76-A): Half yearly,(d) None,D ,22.4.24
" 126. Pick the correct ones (i) If an item in the accounts which properly belongs to a revenue or expenditure head is classified wrongly under another revenue or expenditure head, the error may be corrected at any time before the accounts of the year are closed (ii) Once the accounts of the year are closed, no correction is admissible it being sufficient to make a suitable note of error against the original entry (iii) If the error affects the receipts and disbursement of another Govt or a transaction of commercial department it should be corrected by transfer in all cases as soon as the error is discovered. (iv) All errors affecting debt (including suspense) and remittance heads must be corrected, however old they may be. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D ,22.4.25 (a) & (b)
" 127. If an error be detected after submission to the Pay and Accounts Officer of the Divisional Officer’s Supplementary Account of the year, it should nevertheless be reported to the Chief Controller of Accounts for instructions unless the amount be not more than ",(a) ten rupees. ,(b) Twenty Five ,(c) One Hundred ,(d) One thousand,A ,Note 2_ 22.4.25(a)
 128. Pick the correct ones ,"(a) All corrections in accounts which may be advised by the PAO should, after verification, be carried out in all relevant records, the entries being made in red ink (quoting the audit note or other advice) and attested by the dated initials of the Divisional Officer ",(b) The Divisional Accountant is responsible that all corrections advised by the PAO are specially brought to the notice of the Divisional Officer. ,(c) Both of the above ,(d) Neither of the above,B ,Attestation and dated initial by DA 22.4.26 & Note below it
" 129. If the maintenance of such supplementary accounts is necessary for audit purposes, and no form has been prescribed by the C&AG, the Chief Controller of Accounts will determine the required forms in consultation with ",(a) PAO ,(b) CGA ,(c) C&AG ,(d) Govt,B ,Note 1_22.4.27
" 130. If proforma accounts are required for administrative purposes, the accounts will be maintained in such form as may be agreed upon between ",(a) PAO and Division ,(b) CCA and CGA ,(c) CCA and C&AG ,(d) CCA and Govt,D ,Note 1_22.4.27
 131. If the proforma account relates to transactions of two or more divisions the compilation of it is undertaken by the ,(a) DOs ,(b) SE ,(c) PAO ,(d) CCA,C ,Note 2_22.4.27
 132. If the proforma account relates to transactions of two or more divisions the compilation of it is undertaken on the information furnished by ,(a) DOs ,(b) SE ,(c) PAO from monthly accounts ,(d) CCA,A ,Note 2_22.4.27
" 133. Pick the correct ones (i) A pro-forma account relating to a single division will be prepared by the Divisional Officer and if it is an account prescribed by an administrative authority, the Pay and Accounts Officer may not be required to check it except in pursuance of an arrangement agreed upon between him and Government. (ii) If for the purposes of any pro-forms account which the Pay and Accounts Officer is required to prepare or check, it is necessary to determine the charges incurred on a particular work or service, or a group of works or services, the expenditure thereon should be booked separately in the general accounts, even though, under rule, it may not be customary to estimate or account for such expenditure separately. (iii) Detailed instructions in this connection will be issued by the Chief Controller of Accounts in consultation with Government, where necessary. (iv) The proforma accounts showing the results of the working of irrigation, etc, projects, productive as well as unproductive for which capital accounts are kept, are prepared annually by the Pay and Accounts Officer. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D ,22.4.28 & 22.4.29
" 134. State whether true or false Preparation of annual proforma accounts by PAO showing the results of the working of irrigation, etc, projects, productive as well as unproductive for which capital accounts are kept. Are known as Administrative Accounts of Irrigation, Navigation, Embankment and Drainage Works ",(a) True ,(b) False,,,A ,22.4.29
 135. The above proforma accounts is prepared in accordance with the rules prescribed in ,(a) CPW Departmental Code ,(b) GFR ,(c) R&P Rules ,(d) GAR,D ,22.4.29
" 136. The Divisional Officer should review from time to time the several registers, books and accounts, as are maintained in the divisional and sub-divisional offices and should record the same in Form ",(a) CPWA 91 ,(b) CPWA 93 ,(c) CPWA 95 ,(d) CPWA 96,D ,22.4.31
