1. Departmental classified abstract is ,(a) collection of monthly transaction as whole relating to each civil department ,(b) collection of monthly transaction as whole relating to a major head of account coextensive with any particular department ,(c) collection of monthly transaction as whole relating to each civil department or a major head of account coextensive with any particular department ,(d) collection of monthly transaction as whole relating to each civil department or a major head of account not coextensive with any particular department,D ,
" 101. On receipt of the Clearance Memo (AC 5) from CAS, RBI regarding adjustment made for the advice rendered by the AG ",(a) Dr/Cr to 8675 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Cr/Dr to 8675 in the Central Section of Accounts and per contra Dr/Cr to Adjusting Account ,(b) Dr/Cr to 8675 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Dr/Cr to 8675 in the Central Section of Accounts and per contra Cr/Dr to Adjusting Account ,(c) Dr/Cr to 8658 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Cr/Dr to 8658 in the Central Section of Accounts and per contra Dr/Cr to Adjusting Account ,(d) Dr/Cr to 8658 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Dr/Cr to 8658 in the Central Section of Accounts and per contra Cr/Dr to Adjusting Account,A ,
" 102. Pensions including commuted value of pensions in respect of retired High Courts Judges who have served under State Governments, subsequently recoverable from the State Government concerned, are ",(a) at first instance Charged on Consolidated Fund of State ,(b) at first instance Charged on Consolidated Fund of India ,(c) at first instance Voted Expenditure for the State Govt. ,(d) at first instance Voted Expenditure for the Central govt.,B ,
 103. The initial payment of Pensions including commuted value of pensions in respect of retired High Courts Judges made through Treasuries/Public Sector Banks should be debited directly against the ,(a) State Balance in Central Section ,(b) State Balance in State Section ,(c) Central Balance in Central Section ,(d) Central Balance in State Section,C ,
 104. Such pensions are shown as expenditure Charged on the Consolidated Fund of India in terms of Article 112 (3) (d) (iii) of the Constitution under the bead ,(a) 4071 ,(b) 8680 ,(c) 2075 ,(d) 2071,D ,
 105. Pick the correct one ,(a) The actual recovery from the State Governments on account of initial pension to Judges of High Courts should be effected by operating upon the head Adjusting Account between Central and State Governments' and making adjustment with the State Governments through Cash Settlement ,"(b) Where the pensions are paid initially through a Public Sector Bank or a State Treasury located outside the jurisdiction of the State, the recovery of the pensions from the concerned State will be effected by the AG of the State in whose Central Section, the charges initially stand debited by Operating Inter State Suspense A/c (8793) ",(c) Both A&B ,(d) None of the given,B,
 106. In order to work out the net debit and credit all inter-State transactions brought to account in a month in the various accounts and abstracts in an AG’s office should be brought together for the whole account circle in ,(a) part III of the Register of Adjustments with the Reserve Bank in Form AC 3 ,(b) part II of the Register of Adjustments with the Reserve Bank in Form AC 3 ,(c) part II of the Register of Adjustments with the Reserve Bank in Form AC 4 ,(d) part III of the Register of Adjustments with the Reserve Bank in Form AC 4,A ,
 107. Pick the incorrect one ,(a) Advice to RBI for effecting adjustment for Inter-State Suspense Account is prepared in Form AC 4 ,"(b) Copies of the advice supported by schedules, vouchers and other papers' should be forwarded to the AG concerned to enable them to incorporate the transactions in their books. ","(c) On receipt of Clearance Memo (AC 5) from the CAS, the AG who initiated the adjustment, should clear the outstanding in his accounts by (-) Dr/Cr 8793 and Cr/Dr-8675 ",(d) none of the given,C ,
" 108. State whether true or false When a copy of the same intimation is received by the other AG concerned, he should make an adjustment in the STATE SECTION OF HIS ACCOUNTS under the head CAS, RBI under the Major Head 8786 by per contra debit or credit to the head 8675-Deposits with RBI ",(a) True ,(b) False,,,B ,
" 109. The CAS, RBI will send to each AG a statement showing the sum total of adjustments made against the Central balance at his instance, together with a statement of closing balances of the State for the respective month by ",(a) 10th of following month and in case of March 25th April ,(b) 25th of the following month in case of March 10th May ,(c) 15th of following month and in case of March 25th May ,(d) 25th of the following month in case of March 15th April,B ,
 110. The accounts through which the transactions are initially accounted for under the head 'Inter-State Suspense Accounts and reported by one AG to the concerned AG are known as ,(a) Settlement Account ,(b) Current Account ,(c) Outstanding Account ,(d) Shadow Account,A ,
 111. Types of Settlement A/c are ,(a) Capital and Revenue Settlement Account ,(b) Accepted and Rejected Settlement Account ,(c) Current and Previous Settlement Account ,(d) Outward and inward Settlement Account,D ,
" 112. Where there are no transactions against a particular State during a month, ",(a) No outward settlement account should be despatched to the AG or AO concerned ,(b) a 'NIL' outward settlement account should invariably be despatched to the AG or AO concerned) ,(c) It is at the discretion of the AG that a 'NIL' outward settlement account should be despatched to the AG or AO concerned or not. ,(d) It is at the mutual consent of the AsG that a 'NIL' outward settlement account should be despatched to the AG or AO concerned or not.,B ,
 113. Pick the correct one ,(a) The Outward Settlement Account shall be prepared in Form AC 7 ,(b) The Outward Settlement Account shall consist of a copy of the monthly advice of adjustments sent to the RBI supported by schedules of credits and debits and connected vouchers or other documents working up to the net credit or debit advised to the RBI ,(c) The schedules accompanying the Account with suitable modifications may be prepared in AC 7 ,(d) All of the above,D ,
 114. Pick the incorrect one ,(a) All transactions should be detailed in the schedules accompanying the settlement Account but in the case of cheques and remittances of Public Works Officers it should be sufficient to state the amount paid or received at each treasury on account of each Public Works Division ,(b) The schedules should be supported by treasury consolidated receipts and paid cheques ,(c) Neither A nor B ,(d) Both A&B,C ,
 115. Public Works Outward items which represent charges for work done should be supported by certificate in a form prescribed by the ,(a) State Government on advice of AG ,(b) President on advice of CAG ,(c) CAG on the advice of the CGA ,(d) Central Government on advice of CAG,B ,
" 116. In respect of Provident Fund transactions relating to Inter-State Settlement Account, the particular should be furnished to ",(a) Account Current in separate subsidiary schedules in AC 8 by Departmental audit & Other Sections ,(b) Departmental audit & Other Sections in separate subsidiary schedules in AC 8 by Account Current ,(c) Fund Section in separate subsidiary schedules in AC 8 by Account Current ,(d) Departmental audit & Other Sections in separate subsidiary schedules in AC 8 by Fund Section,A ,
 117. Personally responsible to see at the time of signing the settlement Account that subsidiary schedules and the covering list have been duly attached in proper form is ,(a) Group Officer ,(b) Accountant General ,(c) Section officer of Account Current ,(d) Branch officer of Account Current,D ,
 118. If the Accountant General finds any item which he cannot accept ,"(a) he/she should re-credit or re-debit it to the originating Accounts Officer after obtaining his/her consent where the same is clearly established, no need of consent is required ",(b) he/she should re-credit or re-debit it to the originating Accounts Officer without obtaining his/her consent. ,(c) he/she should re-credit or re-debit it to the originating Accounts Officer after obtaining his/her consent even in case where the same is clearly established ,(d) he/she cannot re-credit or re-debit it to the originating Accounts Officer at his end,A ,
 119. When a charge is paid in one account circle and is passed on through the settlement Accounts to be adjusted in another circle responsible for obtaining a voucher will be ,(a) the AO where the charge is to be adjusted ,(b) the AO of the paying circle ,(c) either A or B ,(d) Both A&B,B ,
" 120. Where the Government renders services or supplies stores to another Government, the AG of the Government which renders services or supplies should take credit for the supply in his accounts and initiate necessary adjustments against the balance of the other Government. ",(a) True ,(b) False,,,A,
" 121. Cash remitted into, or cheques drawn on treasuries in a State by Public Works and Forest Officers belonging to another State should be brought to account in the accounts of those officers under the head ",(a) 8658 ,(b) 8670 ,(c) 8782 ,(d) 8786,C ,
" 122. Cash remitted into, or cheques drawn on treasuries in a State by Public Works and Forest Officers belonging to another State should be brought to account in the accounts of those officers under the head 8782 shall and cleared by the AG to whom the Public Works and Forest Officers render accounts, when the corresponding credits and debits received through the settlement Account. ",(a) True ,(b) False,,,A ,
 123. When a State AG receives intimation that an advance has been paid in another State to a Government servant under his audit control he/she should ,(a) debit 8658 ,(b) credit 8658 ,(c) credit pay and allowances ,(d) credit 8782,B ,
" 124. If any voucher/particular are wanting or if an item is not prima facie adjustable against the State, the necessary particulars in respect of such items should be entered in ",(a) an objection Book in Form A.C. 10 and the same is communicated to the other AG through an objection Statement ,(b) an objection Book in Form A.C. 11 and the same is communicated to the other AG through an objection Statement ,(c) a protest Register in Form A.C. 11 and the same is communicated to the other AG through an objection Statement ,(d) a protest Register in Form A.C. 10 and the same is communicated to the other AG through an objection Statement,A ,
 125. Individual items of credits and debits included in the schedules etc. should be ,(a) posted in consecutive series in single Inward Adjustments Registers in Form A.C. 11 for both credit and debit items ,(b) posted in consecutive series in two Inward Adjustments Registers in Form A.C. 11 one for credits and the other for debit items ,(c) posted in consecutive series in single Inward Adjustments Registers in Form A.C. 11 for both book transfer and cash settlement items ,(b) posted in consecutive series in two Inward Adjustments Registers in Form A.C. 11 one for book transfer and the other for cash settlement items,B ,
 126. Pick the correct one ,"(a) In respect of items which are adjustable under heads which have been opened in departmental abstracts, Suspense slips should be prepared in the Form A.C. 12 ",(b) The Suspense slips should be entered in an outward Suspense slips Register in Form AC 13 and the suspense slips together with supporting vouchers or other documents should then be sent to the Departmental Auditor concerned for necessary adjustment in the Departmental Abstract ,(c) Both A&B ,(d) None of the given,C ,
 127. Pick the correct one ,"(a) On receipt of Register of Suspense Slips duly signed by the Section Officer, column of Inward Settlement Register should be posted in Column 4 to 8 by Departmental Auditor concerned","(b) Items which are susceptible of adjustment, but cannot be treated as finally settled and placed under objection should be posted in Inward Settlement Register in columns 9 and 10 ",(c) Both A&B ,(d) None of the given,A ,
" 128. Items held under objection not adjustable by the State and those which are prima facie adjustable in the books of the State, but vouchers or particulars to determine the Major head or Department against which the items are to be adjusted, are not available should be classified under the Head ",(a) 8658 Suspense Accounts-Civil-Objection Book Suspense ,(b) 8658 Suspense Accounts-Civil-Unclassified Suspense ,(c) 8680-General Miscellaneous Services ,(d) 8663 Accounting Adjustments Suspense,B ,
" 129. Items in respect of which the Department or Major head is clear from the schedules, but full particulars or vouchers are not available to determine the minor and detailed heads of account should be adjusted under the relevant Deptt Adjusting A/c or other head ",(a) True ,(b) False,,,A ,
 130. Pick the correct one ,"(a) After verification that each item in the Adjustment Registers has been classified, the total of the column 'Adjusted' should be struck, and the difference between the totals of the debit and credit Adjustment Registers should be worked out and agreed with the net credit or debit advised in the Inward Settlement ",(b) This difference should be adjusted as deduct entry Account under the head 'Central Accounts Office-Reserve Bank Suspense' in the relevant Adjustment Register ,(c) The amount adjusted from the Adjustment Register should be posed in Settlement Account Abstract in Form AC 14 ,(d) All of the above,D ,
 131. Settlement Account Abstract shall be ,(a) posted only from the Adjustment Register and not from the schedules accompanying the inward account or from any other documents ,(b) posted only from the schedules accompanying the inward account and not from the Adjustment Register ,(c) posted from the Adjustment Register and from the schedules accompanying the inward account ,(d) posted from the Detail Book and not from Adjustment Register and the schedules accompanying the inward account,A ,
 132. Pick the correct one i. Every item of Settlement Account which is not finally disposed of should be entered in an objection statement (AC 15) and in the objection Book (AC 10) with suitable modification ii. The serial numbers of items of previous months still outstanding should be entered at the beginning of each objection statement and the objection Book. iii. The debit items should be entered first and then the Credit items. iv. The procedure for the upkeep of the objection Book and for watching the adjustment of items entered in it will be such as may be prescribed by the Accountant General ,"(a) ii, iii and iv ","(b) i, ii and iii ","(c) i, ii and iv ",(d) All of the above,B ,
 133. Major and Minor Head for Reserve Bank of India Remittance is ,(a) 8999-103 ,(b) 8782-103 ,(c) 8782-105 ,(d) 8999-105,C ,
 134. The receipts and payments on behalf of the RBI are required to be cleared with the Bank ,(a) monthly ,(b) Daily ,(c) weekly ,(d) fortnightly,B ,
" 135. The schedules of receipts and payments on account of telegraphic transfers, drafts, etc. received by the Accountant General as far as possible, be forwarded to the Bank ",(a) on the same day ,(b) on the next working day ,(c) within two working days ,(d) within a week,A,
 136. Schedules of receipts and payment received from treasuries and sub-treasuries should be listed in a special form of advice prescribed by the ,(a) CAG ,(b) AG ,(c) State Government ,(d) RBI,D ,
 137. Schedules of receipts and payment received from treasuries and sub-treasuries should be listed in a special form of advice ,(a) The list should be prepared in triplicate by carbon process ,(b) The list should be prepared in triplicate in ink and not by carbon process ,(c) The list should be prepared in duplicate by carbon process. ,(d) The list should be prepared in duplicate in ink and not by carbon process,C ,
" 138. Disposal of list accompanied with Schedules, vouchers etc. should be ","(a) One copy of each list accompanied with Schedules, vouchers etc. should be forwarded to the CAS, RBI and other to AG/AO concerned ","(b) One copy of each list accompanied with Schedules, vouchers etc. should be forwarded to the CAS, RBI and other is retained as office record ","(c) Two copies of each list accompanied with Schedules, vouchers etc. should be forwarded to the CAS, RBI and other is retained as office record ","(d) One copy of each list accompanied with Schedules, vouchers etc. should be forwarded to the CAS, RBI, one copy to AG/AO concerned and third is retained as office record",B ,
" 139. For adjustment of transactions of particular month in the same month, all advices relating to that month should be communicated to the Bank not later than the ",(a) 7th of the following month ,(b) 10th of the following month ,(c) 15th of the following month ,(d) 25th of the following month,A ,
 140. Pick the correct one ,(a) The total debits and credits as worked out in the lists should be posted in part II A of the Register of Adjustment with the Reserve Bank in Form AC 3 ,"(b) On receipt of intimation of adjustment from Bank, the amount adjusted by bank should be debited or credited to 8675 and contra credited or debited to 8658 as the case may be. ",(c) Suitable entry in Part IIIA of the Register of Adjustment with the Reserve Bank should also be made ,(d) All of the above,C ,
" 141. At the close of the month, net debits and credits so worked out in Part III A of the Register of Adjustment with the Reserve Bank in Form AC 3 should be agreed with the corresponding figures ","(a) under the head ""RBI Remittances' in the Consolidated Abstract ","(c) under the head ""RBI Remittances' in the Classified Abstract ","(c) under the head ""Deposit with the RBI in the Detail Book ","(d) under the head ""RBI Remittances' in the Detail Book",D ,
 142. The agreed debits and credits between Part III A of the Register of Adjustment with the RBI in Form AC 3 and Detail Book should ,(a) be posted in lump in the appropriate column at the end of Part IV of the Register ,"(b) agree with the net adjustment under the head ""8675-Deposits with RBI ",(c) Both A&B ,(d) None of the given,C ,
" 143. The discharge of payments of interest on Central Govt. Security, Promissory Notes etc. occurring in State Treasuries shall be adjusted by ","(a) book transfer through CAS, RBI ",(b) Cash settlement through cheque/draft ,(c) either A or B as desired ,(d) Both A&B,B ,
" 144. Inter-state transaction adjustable by cash settlement i. Expenditure and receipts on National Highways, occurring in State Public Works, Roads or Highways Divisions, which are initially brought to account as State transactions by the AG under PAO Suspense and adjustable by PAO National Highways"". ii. Certain receipts like welfare cess on Coke or Coal (despatched otherwise than by Railways) occurring in Bihar Treasuries which are adjustable in the accounts of Ministry of Labour, GoI. iii. Recoveries (GPF, HBA & Conveyance) initially effected from pay bills of Central Government employees on deputation with State Governments iv. Pension transactions of Railways and Defence and other Defence transactions occurring directly in State Treasuries ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D ,
" 145. For cash settlement, a Register of Outward Claims shall be prepared in where separate folios or sets of pages are utilised for each Pay and Accounts Office or other Accounts Office of the Ministry Department concerned ",(a) AC 16 ,(b) AC 17 ,(c) AC 18 ,(d) AC 19,A ,
 146. The Register of Outward Claims should contain minor/sub-head of the appropriate Suspense' head under which the transactions in the initially accounted for in the State Section of accounts in the relevant Classified Abstracts/Detail Book ,(a) True ,(b) False,,,A ,
 147. Bank drafts/cheques when received either from the Bank or from PAO/AO should first be noted in a ,(a) Register of Negotiable Instruments ,(b) Register of Valuables ,(c) Register of Cash Equivalent ,(d) Register of Commercial Paper,B ,
" 148. For transactions pertaining to a State Govt. occurring in PAO/AO, the necessary claims or cheques/bank drafts, as the case may be, shall be sent to the AG concerned at such prescribed intervals not exceeding ",(a) one year ,(b) six-month ,(c) one quarter ,(d) one month,D ,
 149. The claims of inter-state settlement are required to be settled ,(a) within 7 days of receipt of each 'such claim and in any case before the 15th of the second succeeding month to which the claims relate ,(b) within 10 days of receipt of each 'such claim and in any case before the 10th of the second succeeding month to which the claims relate ,(c) within 7 days of receipt of each 'such claim and in any case before the 10th of the second succeeding month to which the claims relate ,(d) within 10 days of receipt of each 'such claim and in any case before the 15th of the second succeeding month to which the claims relate,C ,
" 150. In respect of claims for the month of March, settlement of claims should be effected by the ",(a) 15th April ,(b) 12th April ,(c) 25th April ,(d) 10th April,A,
" 151. With certain exception, no monetary settlement will be resorted to in all cases of claims in each case for transactions on account of supplies made or services rendered by one Govt. to another not exceeding ",(a) Rs. 5000/- ,(b) Rs. 1000/- ,(c) Rs. 2500/- ,(d) Rs. 1500/-,B ,
 152. Exception where no relaxation to Monetary Settlement is allowed ,(a) Claims relating to Commercial Departments/undertakings of a Govt. which are required to work to a financial result for services rendered or supplies made to or by them ,"(b) Incidence of charges i.e. leave salary, pension etc. arising out of inter-Government deputation of individual Govt. servants ",(c) Both A&B ,(d) None of the given,C ,
 153. Pick the incorrect one ,(a) The AG of States are normally authorised to debit the Central Government by sending advices to the Reserve Bank ,"(b) AG can withdraw amount erroneously credited to Central Govt. an account of repayment of loans and interest in an earlier advice by sending supplementary advice to CAS, RBI with a requisite certificate in this regard ",(c) It is also certified that withdrawn are being furnished to Chief Controller of Account/Principal Accounts Officer of Central Ministry/Department concerned ,(d) None of the given,A ,
 154. Pick the correct one ,"(a) Though the Union Territory Governments with legislature have separate consolidated funds of their own, they have separate balances with the Reserve Bank under the Major Head 8675 ","(b) Though the Union Territory Governments with legislature have separate consolidated funds of their own, they have no separate balances with the Reserve Bank, such balances being treated as Deposits with the Central Government under the head 8450. ","(c) Though the Union Territory Governments with legislature have separate consolidated funds of their own, they have separate balances with the Reserve Bank under the Major Head 8676 ","(d) Though the Union Territory Governments with legislature have separate consolidated funds of their own, they have no separate balances with the Reserve Bank, such balances being treated as Deposits with the Central Government under the head 8449.",B ,
 155. Payments of Grants/Loans by the Central Ministries Departments to the UT and its repayment by the UT is settled through ,"(a) Book transfer by issuing advice to CAS, RBI ",(b) cash settlement by issuing cheque/draft ,(c) either A or B as desired by the Central Ministries/Department ,(d) either A or B as desired by the UT Government,B ,
 156. The AG concerned will operate the several minor heads connected with the Cash Settlement with the PAO of Central Ministries/Departments under Major Head 8658 in respect of UT Govt. ,(a) whose accounts have been departmentalised ,(b) whose accounts have not been departmentalised ,(c) in all cases whether their accounts have been departmentalised or not ,(d) where so directed by the Union Government in consultation with the CAG,B ,
 157. The income tax recoveries effected from the bills paid by the treasuries/State Govt./HQ PAO/State Government departmental office rendering compiled accounts to the AG shall be classified in the State Section of Accounts under Major 8658 under Minor Head ,(a) 107-Cash Settlement Suspense Account ,(b) 108-Public Sector Bank Suspense ,(c) 112-Tax Deducted at Source Suspense ,(d) 101-Pay and Accounts Office-Suspense,C ,
 158. Pick the correct one ,"(a) After the monthly accounts are closed, a cheque duly supported by a Statement in duplicate for the total amount booked under the TDS Suspense shall be sent by the AG to the Principal Accounts Officer of the CBDT. ",(b) The Statement shows the figures pertaining to each treasury/PAOs/Departmental officer rendering compiled accounts to AG. ,(c) Both A&B ,(d) None of the given,B ,
 159. Pick the correct one ,"(a) Detail Book is maintained for consolidation of DDR transaction as appearing in the Treasury Cash Accounts, Lists of Payments and in the Departmental and other abstracts in AC 21 ",(b) Separate Detail Book should be maintained for Central and State transaction ,"(c) Consolidation of monthly accounts should not be delay for late receipt of accounts from rendering agencies and so if the account of any month is received too late to incorporate in the account, a note of omission should be recorded distinctly in RED INK below the month’s entries in Statement of Disbursers’ Account in AC 2 ",(d) All of the above,D ,
" 160. State whether true or false When an account not received in the previous month are posted in the Detail Book and the Statement of Disbursers Account of the next month, a note should be made against the entries giving reference to the month to which they relate. With the approval of the AG, the figures of the two months be combined into a single set of entries. ",(a) True ,(b) False,,,B ,
 161. Pick the incorrect one ,"(a) The Detail Book (Form A.C, 21) shall be arranged in horizontal rows, of which the first two rows on each folio or page shall show the period of account and the name of the district or of the departmental or other abstract. ",(b) The remaining columns represent the entries which appear in that abstract under each head of account ,(c) The Detail Book should be so arranged as to provide sufficient space under each heading for the consecutive entry of twelve months' transactions (April to March Final) ,(d) None of the given,A ,
 162. Detail Book consists of ,(a) six parts ,(b) four parts ,(c) three parts ,(d) two parts,D ,
" 163. Part of the Detail book utilised in consolidating the Debt, Deposit and Remittance figures appearing in the various Departmental and other abstracts is ",(a) Part I ,(b) Part II ,(c) Part III ,(d) Part IIA,B ,
 164. Part of the Detail book utilised for compiling the treasury transactions direct from the Cash Accounts and Lists of Payments is ,(a) Part III ,(b) Part II ,(c) Part I ,(d) Part IV,C ,
 165. Pick the correct one ,(a) The grand totals of receipts and disbursements in Part I of the Detail Book should then be agreed with the Statement of Disbursers' Accounts ,"(b) The postings in the Detail Book both total & Heads as well should be checked independently with the entries ln the Cash Account, List of Payments, or the Departmental or other abstracts ",(c) Both A&B ,(d) None of the given,C,
 166. Pick the incorrect one ,"(a) The transfers entry of each month are posted in the Detail Book without reference to the amount of the month's transactions under the sub/detailed heads concerned, the result may be a minus entry, which will pass in red into the Consolidated Abstract and reduce the total of the minor head ","(b) If a minus entry under a sub/detailed head exceeds the aggregate of the plus entries for the current month the same minor head, the net entry for the minor head also will be a minus one in red ink both in the Consolidated Abstract and in the Ledger. ",(c) Under no circumstance a major head may appear in Minus in any month ,(d) None of the above,C ,
" 167. After the Consolidated Abstract is closed, the totals of the receipts and payments recorded in it should be checked against the totals in the ",(a) Statement of Disbursers’ Account ,(b) Detail Book ,(c) Classified Abstracts ,(d) Cash Book,B ,
 168. Abstract of Major Head showing the receipts and disbursements by major heads during and to the end of the month is prepared from ,(a) Consolidated Abstract of DDR Heads and the Departmental Consolidated Abstracts ,(b) Detail Book and Consolidated Abstract of DDR Heads ,"(c) Detail Book, Statement of Disbursers’ Accounts and Consolidated Abstract of DDR Heads ","(d) Cash Accounts, List of Payment and Detail Book.",A ,
 169. The total figures in the Abstract of Major Head Totals should agree with the ,(a) Detail Book ,(b) Consolidated Abstract of DDR ,(c) Departmental Consolidated Abstract ,(d) Statement of Disbursers’ Accounts,D ,
 170. The closing cash balance of Government as worked out in the General Statement of Account should be reconciled with the balances shown in the ,(a) Cash Accounts rendered by Treasury Officers ,"(b) the Statement of closing balances received from the CAS, RBI ",(c) Both A&B ,(d) Departmental Consolidated Abstract,C ,
 171. State whether true or false Any difference between the account balance shown in the General Statement of Account and the grand total of the cash balance report should be explained in a note to be added to the former. ,(a) True ,(b) False,,,A ,
 172. Abstract of Major Head shall be prepared ,(a) in single abstract for both Central and State transactions ,(b) separately for Central and State transactions ,(c) in either single abstract for both Central and State transactions or separately for Central and State transactions as mutually agreed between Central and State Government. ,(d) in either single abstract for both Central and State transactions or separately for Central and State transactions as mutually agreed between Central Government and the CAG,B ,
 173. There will be ordinarily only entries relating to the total receipts and disbursements of the month which should agree with each other in the General Statement of Accounts pertaining to ,(a) State Abstract of Major Head totals ,(b) Central Abstract of Major Head totals ,(c) UT abstract of Major Head totals ,(d) All of the above,B ,
" 174. The accounts of each month must be completed, carefully checked and signed punctually on or before the ",(a) 15th of the following month ,(b) 4th of the following month ,(c) 15th of Second following month ,(d) 4th of Second following month,D ,
" 175. The accounts for month of March must be completed, carefully checked and signed punctually on or before the ",(a) 25th April of following year ,(b) 15th of May following year ,(c) 30th April of following year ,(d) 20th of May following year,B ,
 176. The books remain open for adjustments and transfers for March Supplementary Accounts until the ,(a) 20th May of the following year ,(b) 31st May of the following year ,(c) 20th June of the following year ,(d) 30th June of the following year,D ,
 177. Statement of Central Transactions means ,(a) Statement showing the Central Transactions appearing in the books of State furnished by the AG to CGA for the purpose of compilation of the Finance Accounts of the Central Government ,(b) Statement showing the Central Transactions appearing in the books of State furnished by the AG to CAG for the purpose of compilation of the Finance Accounts of the Central Government ,"(c) Statement showing the Central Transactions appearing in the books of State furnished by the AG to CAS, RBI for book adjustment. ",(d) Statement showing the Central Transactions appearing in the books of State furnished by the AG to State Government concerned,A ,
 178. The form and by the date of Statement of Central Transactions is prescribed by ,(a) AG ,(b) CAG ,(c) CGA ,(d) President,C ,
 179. Statement of Central Transactions is prepared by ,(a) Major and Sub Major Heads ,"(b) Major, Sub-Major and Minor Heads ","(c) Major, Minor and Detailed Heads ","(d) Major, Sub Major, Minor and Detailed Heads",B ,
 180. With regard to Statement of Central Transactions the accounts of each financial year shall be kept open by Accountants General till ,(a) 15th September of the following year ,(b) 30th September of the following year ,(c) 15th October of the following year ,(b) 31st October of the following year,A,
" 181. If it is impossible to have any expenditure booked in the accounts of the year to which it relates, owing to the fact that the actual incidence of the expenditure is under dispute, it ought to be debited to the accounts of the year ",(a) to which it relates ,(b) in which the final decision is taken ,(c) either A or B ,(d) initially in which the final decision is taken and finally to the year to which it relates,B ,
" 182. Pick the correct one i. No alteration should be made in the Detail Book, Departmental Classified Abstracts or Consolidated Abstracts of any month after they have been closed ii. When errors are discovered in the same year, involving a correction, the necessary corrections should be made by a formal transfer entry iii. Corrections between sub/detailed heads under the same minor head should also be made by formal transfer entry. iv. A formal transfer entry is not required if the error affects only Revenue or Expenditure heads affecting the same Govt. and the amount involved does not exceed ten (10) rupee. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,C ,
 183. No formal transfer entry for corrections between minor heads arising after the despatch of the Statement of Central Transactions should be made for amounts less than ,(a) Rupees ten thousand (10000) ,(b) Rupees five thousand (5000) ,(c) Rupees two thousand (2000) ,(d) Rupees one thousand (1000),D ,
 184. Corrections between minor heads arising after the despatch of the Statement of Central Transactions should be made ,"(a) In cases where the total of transfer entry on either side is more than Rs. 1000/ even if the effect on minor head is less than Rs. 1000, the correction should be made by a formal transfer entry order ",(b) Error affecting the accounts of the same Government should not be made by formal transfer entry ,(c) Both A&B ,(d) None of the given,C ,
" 185. Transfer entry is required for i. to correct an error of classification in the original accounts ii. to adjust, by debit or credit to its proper head, an item outstanding under a debt, deposit or remittance head iii. to adjust inter-departmental and other transactions which do not involve the receipt or payment of cash iv. to classify items pertaining to more than ono head of account under a single head of account in the first instance than to classify them under each head of account from the beginning ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,D ,
 186. Transfer entries should be prepared in Form ,(a) AC 23 ,(b) AC 32 ,(c) AC 30 ,(d) AC 27,A ,
 187. Pick the incorrect one ,(a) On one side of every transfer entry there should be only one major head to which there may be a debit by credit to sundry heads or vice versa ,(b) Debit should not be taken against sundry head by credit to sundry heads ,"(c) As a general periodical adjustment should be made monthly, but if AG feels inconvenience in monthly adjustment, he may postpones it to quarterly or half yearly ",(d) None of the given,C ,
" 188. Annual and half-yearly transfers should, as a rule, be avoided unless authorise by ",(a) CGA ,(b) CAG ,(c) AG on the advice of the CAG ,(d) CAG or Govt. on advice of CAG,D ,
 189. An error in account may be corrected at any time before account of year is closed ,(a) If an item which properly belongs to a Revenue or Expenditure head is wrongly classified under another Revenue or Expenditure head in the accounts of the same Government. ,(b) If an item which properly belongs to a Revenue or Expenditure head is wrongly classified under another Revenue or Expenditure head in the accounts whether the same Government or other Governments. ,"(c) If an error affecting a debt, deposit or remittance head in the accounts of the same Government ","(d) If an error affecting a debt, deposit or remittance head in the accounts of the same Government or other Governments",A ,
 190. An error in account may be corrected whether account of year is closed or not and irrespective of the amount involved and oldness in cases where ,"(a) the error affects the receipts and disbursements of another Government, or the transactions of a Commercial Department ","(b) the error affecting a debt, deposit or remittance head must be corrected by transfer entry ",(c) Both A&B ,(d) None of the given,C ,
" 191. State whether true or false After the accounts are closed, no correction is admissible, it being sufficient to make a suitable note of the error against the original entry ",(a) True ,(b) False,,,A ,
" 192. If the accounts of the year in which the error took place are not closed, the correction should be made by the removal of the item from the head under which it was wrongly taken to head to which it properly belongs by a ",(a) plus entry of debit or credit ,(b) minus entry of debit or credit ,(c) contra entry of debit or credit ,(d) Any of the above,B ,
" 193. An item credited to a debt, deposit, suspense or remittance head instead of to a revenue head and error was detected BEFORE the close of the account of the year, rectification will be made by ",(a) debit DDR head and credit revenue head concerned ,(b) minus debit DDR head and minus credit revenue head concerned ,(c) credit DDR head and credit revenue head concerned ,(d) minus DDR head and credit revenue head concerned,D ,
" 194. An item credited to a debt, deposit, suspense or remittance head instead of to a revenue head and error was detected AFTER the close of the account of the year, rectification will be made by ",(a) debit DDR head and credit revenue head concerned ,(b) minus debit DDR head and minus credit revenue head concerned ,(c) credit DDR head and credit revenue head concerned ,(d) minus DDR head and credit revenue head concerned,A ,
