1. The check of works accounts is conducted in three stages; pick the incorrect one ,(a) Preliminary internal check by the Divisional Accountant in the Divisional Office ,(b) Test check by A.G (Audit) team in the Divisional Office ,(c) Checking of monthly accounts in Accountant General's Office ,(d) Checking of Divisional Reconciliation statement of expenditure and receipts with reference to Debt Head and Classified Abstracts/Summary Registers maintained in Works Accounts Wing of Accountant General (A&E) office.,B ,8.1,,
 82. Pick the incorrect Audit Wing’s statement and its heading/details ,(a) Statement I: Common types of irregularities noticed in Central Audit ,(b) Statement II: Details of Audit Notes and Inspection Report not replied ,(c) Statement III: Important irregularities noticed in the local Inspection of Public Works/Irrigation Division ,(d) Statement IV: Statement showing the Arrears in Audit Objections.,D ,8.54,,
" 83. State whether true or false So far accounts wing is concerned, the information should be collected from the Works Accounts Sections and Works Miscellaneous Section for Audit Wing, the information should be collected from the Accountant General (Audit). ",(a) True ,(b) False,,,D ,"8.54, Total number of statements (Audit) is 3  ",,
 83A. Classified Abstract of Revenue and expenditures pertaining to a Forest Division is submitted to A.G (A&E) in Form ,(a) F.A. 5 ,(b) F.A. 6 ,(c) F.A. 7 ,(d) F.A. 8,A ,9.2,,
 84. A monthly lists of sanctions is received in the A.G (A&E) from the ,(a) Divisional Forest Officer ,(b) Conservator ,(c) State Government ,(d) Central Government,B ,9.2,,
" 85. Pick the correct ones (i) The Divisional Forest Officer is to maintain a Register of Cheques for recording in a chronological order all cheques drawn by him (ii) On the basis of information obtained from the Accountant General (A&E), the actual date of encashment of cheque to be noted in the Register. (iii) The Divisional Forest Officer should furnish a statement which should invariably accompany the monthly compiled accounts rendered to the Accountant General. (iv) The Register of Cheque should be submitted to the Accountant General along with monthly compiled accounts ","(a) i, ii and iv ","(b) ii, iii and iv ","(c) i, ii and iii ",(d) All of the above,C ,"9.3, for (iv)-Register of cheque not submitted but only an extract on last day of month ",,
" 86. During the scrutiny of monthly compiled account, particular attention should be paid to cheques which have been shown as un-cashed for more than ",(a) Two months ,(b) Three months ,(c) Six months ,(d) Twelve months,B ,9.3,,
" 87. State whether True or False If a party pays to the Division by cheque/Demand Drafts, they are first encashed and then the cash is remitted into Treasury at which time an entry is taken in the cash book. ",(a) True ,(b) False,,,A ,9.4,,
 88. Items should be referred to Divisional Forest Officer for speedy settlement when the items are remaining unadjusted at the treasury for ,(a) more than 3 months. ,(b) more than 6 months ,(c) more than 9 months ,(d) more than 12 months,A ,9.4,,
" 89. Pick the correct ones (i) Permissible debits and credits arising out of inter-divisional adjustments should be set against corresponding credits and debits respectively. (ii) Provisions regarding inter-divisional adjustments are given in Article 275 of the Account Code Volume III. (iii) Ordinarily when such transactions are paired a note of agreement should be recorded in red ink by the Accountants dealing with both the Divisions against the relevant entries in the Cash Accounts. (iv) If the number of transactions is large, a suitable register may be prescribed, in addition to facilitate proper watch over unadjusted transfers. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,B ,9.5 given in Article 245 of Accounts Code Volume III and not Art 275 ,,
 90. Transaction between Forest and Public Works Officer of the same Audit Circle whether originating in the Forest or P.W. Account should be classified under the head ,(a) Forest Remittances ,(b) Public Works Remittances ,(c) Civil Remittances ,(d) Central Remittances,B ,Note below 9.6 ,,
" 91. Monthly reports of progress of revenue and expenditure if required by the Conservators, should be furnished to them in such form as may be prescribed by the ",(a) Account General ,(b) Conservator ,(c) State Government ,(d) Central Government,C ,9.9,,
 92. Fill in the blanks An annual review on the working of Forest Divisions is required to be conducted each year and is required to be sent to____________ by _________ ,"(a) Central Government, 30th September ",(b) State Govt. 31st December.,"(c) Central Government, 15th December ","(d) State Government, 15th December",B ,9.1,,
 93. Numbers of statements pertaining to Accounts Wing in annual review on the working of Forest Divisions are ,(a) Three ,(b) Four ,(c) Five ,(d) Six,C ,"PWD Accounts Wing 6, Audit wing 3. Forest Account wing 5 and audit wing 3",,
 94. State whether true or false The annual review on the working of Forest Divisions should cover following points/statements; pick the correct one (i) Extent of delay in the receipt of accounts/vouchers (ii) Extent of wanting documents which should normally accompany the monthly account. (iii) Amount outstanding under 'III. Other Remittances-items adjustable by Forest (iv) Statement showing the amounts held under objection to end of March (Position as on 30th September next FY) ,"(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D ,9.1,,
 95. Extent of wanting documents must fall under the following categories (i.e. documents); pick the correct one (i) Schedule of cheques drawn (ii) Schedule of Remittances (iii) + Memo for Forest Deposits (iv) Statement of Forest Advances ,"(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D ,9.1,,
 96. The Statement V of Annual Review on working of Forest Divisions deals with ,(a) Arrears of delay in receipt of accounts/vouchers ,(b) Arrears of amount under objection ,(c) Arrears of adjusted amount at Treasury ,(d) Arrears of reconciliation,D ,9.1,,
 97. Numbers of statements pertaining to Audit Wing in annual review on the working of Forest Divisions are ,(a) Three ,(b) Four ,(c) Five ,(d) Six,A ,9.10 (Statement A to C) ,,
 98. Statements from the A.G. (Audit) incorporated in the annual review include following except: ,(a) Statement A: Common types of irregularities noticed in Central Audit. ,(b) Statement B: Details of audit objections and Inspection Reports not replied. ,(c) Statement C: Very important irregularities noticed during local audit of Forest Divisions. ,(d) Statement D: Arrears of audit objections and Inspection Reports,D ,"9.10, Total number of statements (Audit) is 3 ",,
 99. State whether true or false The annual review of working of PWD and forest Division should not be construed as a substitute for Audit Reports which are generally presented to the Governor and later discussed in the P.A.C. ,(a) True ,(b) False,,,A ,9.1,,
