91. Proposal for entrustment of audit to be submitted to ,(a) the CAG in respect of Union Government and UT not having a Legislative Assembly and respective AG in respect of State Government and UT having Legislative Assembly ,(b) the CAG in respect of all Governments ,(c) Respective AG in respect of Union Government and UT not having a Legislative Assembly and the CAG in respect of State Government and UT having Legislative Assembly ,(d) the AG concerned in respect of all Governments,A,
"92. The duties and powers of the CAG in relation to the audit of accounts of Government companies shall be performed and exercised by him in accordance with the provisions of the Companies Act, 1956 under ",(a) Section 17 of the DPC Act ,(b) Section 19 of the DPC Act ,(c) Section 20 of the DPC Act ,(d) Section 18 of the DPC Act,B,
"93. Every company that is subject to audit by the Comptroller and Auditor General shall send copies of the agenda notes and minutes of the meetings of its board of directors, board level committees and the audit committee, if formed, to ",(a) the Accountant General (Audit) ,(b) the CAG ,(c) the Government ,(d) All of the above,A,
94. The administrative ministry/department concerned shall intimate within one month of occurrence of the event the Comptroller and Auditor General in writing about except ,(a) the formation of a new Government company or a deemed Government company ,(b) a Government company or a deemed Government company ceases to be so ,(c) a company becoming a Government company or a deemed Government company ,(d) None of the given,D,
"95. Appointment of statutory auditor i. The statutory auditor of a Government company or a deemed Government company shall be appointed by the CAG from amongst persons qualified to act as auditors under the Companies Act, 1956 ii. Statutory auditor shall be appointed through a process of selection as may be prescribed and thereafter, re-appoint him on year to year basis unless special circumstances warrant appointment for a longer period. iii. The total period of appointment including the initial appointment should not ordinarily exceed four financial years iv. The statutory auditor shall send acceptance of the audit assignment in writing to the Comptroller and Auditor General within one month of the date of issue of communication of appointment, failing which the offer of appointment is liable to be cancelled without any notice. ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, ii and iii ",(d) All of the above,C,
96. Pick the correct one ,"(a) In case serious irregularities are noticed in the discharge of professional duties by the statutory auditor, the CAG may, if considered necessary, on the recommendation of a committee appointed by him and after giving due opportunity to the statutory auditor to represent, debar him from further appointment as auditor of a Government company or a deemed Government company for such period as may be considered fit. ",(b) The matter may also be referred to the Government for taking disciplinary action against the statutory auditor. ,(c) both a & b ,(d) None of the given,A,
97. Responsibility with reference to annual accounts of a Government company or a deemed Government company rests with ,(a) the Statutory auditor ,(b) the Management ,(c) the AG (Audit) ,(d) All of the above,B,
98. Role of the C&AG with regard to audit by statutory auditor are ,(a) direct the manner in which the statutory auditor shall audit the accounts of the company and to give to such auditor instructions in regard to any matter relating to the performance of his functions as such ,(b) conduct a supplementary or test audit of the accounts of the company ,(c) None of the above ,(d) Both a & b,D,
"99. To conduct an effective audit in an efficient and timely manner, the statutory auditor should prepare the programme of audit ",(a) in consultation with the company ,(b) in consultation with the AG (Audit) ,(c) in consultation with the company and the AG (Audit) ,"(d) in consultation with the company, the AG (Audit) and the Government concerned",C,
100. Statutory auditor shall furnish reply to the provisional comments of the Accountant General (Audit) within ,(a) three days of issue ,(b) three days of receipt ,(c) seven days of issue ,(d) three days of receipt,A,
101. Statutory auditor shall retain the record of work done by him in the form of working papers with sufficient details so as to support his observations and conclusions for a period of ,(a) two years unless required for a longer period ,(b) five years unless required for a longer period ,(c) four years unless required for a longer period ,(d) seven years unless required for a longer period,B,
102. Audit of the a Government company or a deemed Government company by the CAG is called ,(a) Special Audit Report ,(b) Supplementary Audit Report ,(c) Separate Audit Report ,(d) Independent Audit Report,B,
103. Annual accounts a Government company or a deemed Government company include ,(a) Balance Sheet and Profit & Loss Statement ,(b) Trading and Loss and Profit & Loss Statement ,"(c) Trading and Loss, Profit & Loss Statement and Balance Sheet ","(d) Trial Balance and Trading and Loss, Profit & Loss Statement and Balance Sheet",A,
104. Annual accounts duly adopted by the board of directors of a Government company or a deemed Government company and audited by the statutory auditor shall be submitted to the Accountant General (Audit) within ,(a) 9 months of the close of the year of accounts ,(b) 2 months of the close of the year of accounts ,(c) 6 months of the close of the year of accounts ,(d) 3 months of the close of the year of accounts,D,
105. State whether true or false: The period of submission of the Annual accounts duly adopted by the board of directors of and audited by the statutory auditor to the Accountant General (Audit) is different for a Listed and Non-Listed Government company or deemed Government Company. ,(a) True ,(b) False,,,A,
106,(a) It is the statutory auditor who is primarily responsible for expressing an opinion on the accounts of the company. ,(b) The scope of supplementary audit of annual accounts of a Government company and a deemed Government company by the CAG shall include an examination of selected accounting records and a review of the audit report of the statutory auditor including the opinion expressed by him on the annual accounts of the company. ,(c) Both a & b ,(d) None of the given,C,
107. The significant and material observations made in supplementary audit shall be issued as ,(a) Audit Report ,(b) Comments ,(c) Management Letter ,(d) Appraisal,B,
108. Pick the correct one ,(a) Any comments made by the Comptroller and Auditor General upon or supplement to the audit report on the accounts of the company shall be signed by the CAG ,(b) The comments shall be placed by the management before the annual general meeting of the company at the same time and in the same manner as the audit report of the statutory auditor ,(c) Both a & b ,(d) None of the given,B,
109. The CAG may dispense with supplementary audit of the accounts of a company for any particular year ,(a) With the previous consent of the Chief Executive Officer of the Company concerned ,(b) With the previous consent of the Government concerned ,(c) With the previous consent of the Chief Executive Officer of the Company and Government concerned ,(d) At his discretion.,D,
110. Pick the incorrect one ,"(a) The CAG has, in consultation with the Government of India, established an Audit Board for central public sector undertakings. ",(b) The Audit Board is a temporary body for performance audits of the central public sector undertakings conducted at periodic intervals focusing on critical areas of their performance on thematic issue ,(c) The issues may relate to a particular entity or cut horizontally across several entities. The scope of performance audit may extend to more than one financial year. ,(d) None of the given.,B,
111. Who shall be the chairperson of Audit Board? ,(a) the CAG ,(b) the Dy. CAG (Central Revenue) ,(c) the Dy. CAG (Commercial) ,(d) the AG concerned,C,
"112. i. One or two technical experts in the related field appointed by the CAG in consultation with the administrative ministry may be co-opted as special invitees. ii. An officer shall be appointed to act as Secretary to the Audit Board who shall keep the minutes of the meetings of the Audit Board. iii. The meetings of the Audit Board shall be held with the available members and there shall be no requirement of a quorum. iv. The Audit Board may at its discretion confine itself to making recommendations for the selection of topics for performance audit and the audit may, thereafter, be conducted by the AG (Audit) without any further reference to the Audit Board. ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, ii and iii ",(d) All of the above,A,
"113. Where the Audit Board decides to guide a performance audit, it shall do the following except ","(a) meet to consider and make recommendations on the audit objectives, criteria, guidelines, and methodology ",(b) meet to consider the draft audit report and make recommendations for its finalisation ,(c) carry out the audit by itself ,(d) None of the given,C,
114. Pick the incorrect one regarding the Audit Review Committee ,"(a) The AG (Audit) concerned shall be the chairperson of the committee. AG (Audit) or AG (A & E) in a neighbouring State will be another member. The chairperson may, at his discretion, call a special invitee for seeking opinion on technical issues. ","(b) The Secretary to Government of the concerned department and the chief executive of the concerned public sector enterprise shall be the Government and public sector enterprise nominees on the committee. In case some technical issues are involved, the State Government has the option to nominate a technical member for expert opinion. ",(c) Dy. CAG or Addl. Dy. CAG (State Commercial) may nominate an officer for attending the meeting of the committee as a representative of the CAG ,(d) None of the given.,D,
115. The reports of the CAG in relation to the accounts of a Government company or a deemed Government company shall be submitted to the Government concerned under Section ,(a) 19B of the DPC Act ,(b) 19A of the DPC Act ,(c) 19(1) of the DPC Act ,(d) 19(2) of the DPC Act,B,
"116. In case of both Central and State public sector enterprises, the responsibility for settlement of audit observations lies with ",(a) the management of the company ,(b) the Government concerned ,(c) the CAG for Central PSEs and the AsG for State PSEs ,(d) All of the above,A,
"117. The legislature of a State may, by law, make provisions with respect to the maintenance of accounts and the auditing of accounts of Panchayati Raj Institutions and Urban Local Bodies under the provision of ",(a) Article 243 K and 243 X respectively ,(b) Article 241 K and 241 X respectively ,(c) Article 241 J and 241 Z respectively ,(d) Article 243 J and 243 Z respectively,D,
118. Where audit of Panchayati Raj Institutions and Urban Local Bodies is entrusted to the CAG as Sole Auditor under Section ,(a) 18 or Section 19 of the DPC Act ,(b) 18 or Section 20 of the DPC Act ,(c) 19 or Section 20 of the DPC Act ,"(d) 17, 18, 19 or Section 20 of the DPC Act",C,
"119. The model forms in which the accounts of Panchayati Raj Institutions and Urban Local Bodies may be kept and the forms in which their budgets may be prepared and presented, have been prescribed by the ",(a) the Government ,(b) the CAG ,(c) the Government in consultation with the CAG ,(d) the CAG in consultation with the Government.,B,
120. The functions of technical guidance and support (TGS) to audit Panchayati Raj Institutions and Urban Local Bodies have been entrusted to the CAG under Section ,(a) 20 of the DPC Act ,(b) 20 (1) of the DPC Act ,(c) 19 (1) of the DPC Act ,(d) 20 of the DPC Act,B,
121. The local fund auditor will prepare an annual audit plan for audit of panchayati raj institutions and urban local bodies in the next financial year by the end of ,(a) December ,(b) January ,(c) February ,(d) March,D,
122. The annual audit plan for audit of panchayati raj institutions and urban local bodies in the next financial year prepared by the Local Fund Auditor shall be submitted to the ,(a) State Government ,(b) AG (Audit) of the State ,(c) CAG ,(d) All of the above,B,
123. i. The local fund auditor will furnish returns in such format as may be prescribed by the CAG for advice and monitoring. ii. The AG (Audit) would conduct test check of some of panchayati raj institutions and urban local bodies in order to provide technical guidance. iii. The report of the test check would be sent to the local fund auditor for pursuance of action to be taken by panchayati raj institutions and urban local bodies. iv. The local fund auditor will pursue the compliance of such paragraphs in the inspection reports of the Accountant General (Audit) in the same manner as if these are his own reports ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,D,
124,"(a) The local fund auditor shall develop, in consultation with the CAG a system of internal control in his organisation. ",(b) The AG (Audit) shall also undertake training and capacity building of the local fund audit staff. ,(c) both a & b ,(d) None of the given.,B,
125. Audit of panchayati raj institutions or urban local bodies by the Accountant General (Audit) under technical guidance and support does not include the certification of accounts of panchayati raj institutions or urban local bodies ,(a) True ,(b) False,,,A,
126. The AG (Audit) will send to the concerned Secretary or Secretaries to the Government every year an annual technical inspection report based on the results of audit of panchayati raj institutions and urban local bodies conducted by his office during the preceding year by the end of ,(a) April ,(b) September ,(c) June ,(d) July,C,
"127. i. The form, type and extent of data, information and documents required for audit tests and evidence shall be determined by the audit officer. ii. Data, information and documents would also include those obtained by the auditable entity from a third party and relied upon by it in performance of its functions. iii. If such third party evidence as relied upon by auditable entity is found to be insufficient in Audit, additional information may be requisitioned by Audit from the auditable entity with prior approval of the Accountant General (Audit). iv. On receipt of such requisition, the same shall be obtained by the audit from the third party. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,A,
"128. Where external agency or expert is engaged, the following will apply except ","(a) The engagement letter appointing an agency or expert shall clearly specify the terms of reference including the duties, obligations and powers of the agency or expert so associated ","(b) The audit office shall inform the concerned Government department and the auditable entity regarding the association of the external agency or expert as soon as the engagement letter is issued and before the external agency or expert commences work, including the terms of reference containing the duties, obligations and powers of the agency or expert so associated ","(c) The audit office shall be responsible for the opinions formed, or the conclusions reached, or the recommendations made in its report on the basis of the work of the external agency or expert. ",(d) None of the given,D,
129. Heads of departments shall supply to the audit office a list of the offices under them as at the end of December so as to reach the audit office before the end of ,(a) April of the following year ,(b) January of the following year ,(c) March of the following year ,(b) June of the following year,B,
130. Pick the incorrect one ,(a) The audit office shall as far as possible give advance intimation of a minimum period of three weeks to the officer in charge of the office to be audited ,(b) The intimation for audit shall state the likely duration of audit and also provide a list of the basic records that should be kept ready before the arrival of the audit team. ,"(c) In cases where the audit involves an element of surprise check, an advance of a week in maximum needs to be given ",(d) None of the above.,C,
"131. Cases of failure to provide data, information and documents shall be reported by the audit office to the controlling officer and, if considered necessary, the concerned Government for appropriate action and these authorities shall inform the audit office about the action taken within ",(a) one month of such report ,(b) three months of such report ,(c) two months of such report ,(d) four months of such report,B,
"132. Results of audit conducted with reference to data, information and documents of any auditable entity that are available in an audit office or an accounts office will be communicated to the auditable entity in the form of ",(a) Audit Notes ,(b) Action Taken Notes ,(c) Inspection Notes ,(d) Short Notes,A,
133. The audit office shall as far as possible issue the inspection report or audit notes within ,(a) four weeks from the date of completion of audit ,(b) six weeks from the date of completion of audit ,(c) three weeks from the date of completion of audit ,(d) eight weeks from the date of completion of audit,B,
134. Pick the correct one regarding reply to audit observation by auditable unit ,(a) The officer in charge of the auditable entity shall send the reply to an audit note or inspection report within four weeks of its receipt. ,"(b) Even if it is not feasible to furnish the final replies to some of the observations in the audit note or inspection report within the aforesaid time limit, the first reply shall not be delayed on that account and an interim reply may be given indicating the likely date by which the final reply shall be furnished ",(c) Both a & b ,(d) None of the given.,C,
135. The reply shall be sent through the next higher authority along with the observations of that authority in the case of an inspection report that relates to the ,(a) Ministry/Department ,(b) Autonomous Bodies and Local Bodies ,(c) Government Corporation/Companies ,(d) Public Works Department.,D,
"136. On intimation of the major irregularity by AG (Audit), the Government shall undertake prima facie verification of facts and send to AG (Audit) a preliminary report confirming or denying the facts within ",(a) four weeks of receipt of intimation ,(b) six weeks of receipt of intimation ,(c) two months of receipt of intimation ,(d) three months of receipt of intimation,B,
137. Pick the correct one ,"(a) Where the fact of major irregularity is not denied by the Government in the preliminary report, the Government shall further send a detailed report to the AG (Audit) inter alia indicating the remedial action taken to prevent recurrence and action taken against those responsible for the lapse ",(b) The detailed report shall be submitted to the AG (Audit) within six months of preliminary report of the Government. ,(c) both a & b ,(d) None of the given.,A,
138. Pick the incorrect one regarding the significant audit observations to be communicated to Secretary ,(a) The AG (Audit) may write a management letter to the Secretary to Government of the concerned department by the end of July every year communicating significant observations and conclusions emerging out of audit during the preceding year. ,"(b) The management letter shall inter alia mention the systemic and other deficiencies noticed during the period, the extent of control compliance, cases of persistent irregularities and the level of adequacy of response to audit observations, besides the more important individual cases that merit attention and action, with appropriate recommendations where necessary. ",(c) The Secretary shall inform the Accountant General (Audit) of the action taken within a period of three months ,(d) None of the above.,A,
139. Pick the incorrect one ,(a) Government may establish audit committees for the purpose of monitoring and ensuring compliance and settlement of pending audit observations. ,"(b) Each committee so established shall comprise of a representative each from the administrative department, Audit and a nominee from the Finance Department besides the head of the department of the auditable entity. ","(c) In the case of Central Government establishments located in the States, the Ministry may nominate a State level audit committee in consultation with CAG for settlement of audit observations. ",(d) None of the given,C,
140. Pick the correct one ,(a) The AG (Audit) of the State shall in the first quarter of each year make an annual public statement regarding pending audit observations relating to the State Government. ,(b) The Chief Secretary to the Government shall in the first quarter of each year make an annual public statement regarding pending audit observations relating to the State Government. ,(c) The Secretary to Finance Department shall in the first quarter of each year make an annual public statement regarding pending audit observations relating to the State Government. ,(d) Each Head of Department shall in the first quarter of each year make an annual public statement regarding pending audit observations relating to his department.,D,
"141. i. The AG (Audit) shall send a copy of the proposed audit observations in the form of a draft paragraph to the concerned Secretary to Government by name for communicating the comments, observations and explanation of the Government within a period of six weeks from the date of the letter or within such other period of time as may be specified. ii. The AG (Audit) shall also offer to discuss the draft paragraph including draft performance audit report with the Secretary at mutual convenience within the aforesaid period. iii. The AG (Audit) shall simultaneously send one copy of the draft paragraph to the Secretary to the Government, Ministry of Finance or Finance Department, by name. iv. The reply shall be signed by the Secretary or carry an indication of approval by the Secretary. The Accountant General (Audit) shall give full consideration to the reply of the Government. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,B,
"142. Consistent with the schedule of preparation, finalisation and presentation of the audit report in the legislature, the AG (Audit) may consider a request made by the concerned Secretary to Government for extension of time for sending the reply to the draft paragraph. Every such request shall ",(a) specify the reasons for seeking extension beyond the time stipulated ,(b) state the date by which the final reply to the draft paragraph shall be sent to the AG (Audit). ,(c) both a & b ,(d) None of the above,C,
143. Pick the incorrect one ,"(a) Audit report duly signed by the CAG is sent to the Secretary to the Government, Ministry of Finance or Finance Department as the case may be, who shall take prompt action for the submission of the audit report to the President or the Governor or the Administrator for further action and for the presentation of the report in Parliament or the State or Union Territory legislature. ","(b) Copies of the audit reports under Section 19A of the Act shall be sent to the Secretary of the Ministry or department concerned or the Administrator of a Union Territory having legislative assembly, who shall take prompt action for laying the same in the Parliament or the legislature of the State or Union Territory. ",(c) A signed copy of the audit report shall simultaneously be sent to the Secretary to the President or the Governor or the Administrator. ,(d) None of the given,C,
"144. State whether true or false: The Accountant General (Audit) shall send copies of the audit report to the Secretary to Government of concerned department after the presentation of the report in Parliament or the legislature, as the case may be. ",(a) True ,(b) False,,,A,
145. Action Taken Note (ATN) is prepared for submission to ,(a) the AG (Audit) ,(b) Secretary Finance Ministry/Department ,(c) President/Governor/Administrator ,(d) PAC/COPU,D,
"146. i. The Secretary to Government of the concerned department shall send two copies of the draft self-explanatory action taken note to the AG (Audit) for vetting along with the relevant files and documents on which the explanatory note has been formulated, properly referenced and linked. ii. The AG (Audit) shall return the self-explanatory action taken note to the Secretary duly vetted as soon as possible but not later than two months. iii. The Secretary shall send the requisite number of copies of the vetted note, as prescribed by the PAC/COPU, to the secretariat of the PAC/COPU in accordance with the time schedule prescribed by the latter and also forward a copy each to Ministry of Finance or Finance Department as the case may be, and the AG (Audit). iv. The Government’s response on the recommendations of the Public Accounts Committee/Committee on Public Undertakings shall be sent to the Accountant General (Audit) for vetting before its submission to the respective Committee ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,C,
"147. In respect the State Government, the AG (Audit) shall report the cases of delay to ",(a) the CAG ,(b) the Chief Secretary ,(c) the Secretary Finance Department ,(d) the Governor,B,
148. The duties and powers of the CAG in regard to the accounts of the Union and State Governments are laid down under Articles 149 and 150 of the Constitution of India and ,(a) Sections 10 to 20 and 23 of the DPC Act ,(b) Sections 10 to 18 and 23 of the DPC Act ,(c) Sections 10 to 16 and 23 of the DPC Act ,(d) Sections 10 to 12 and 23 of the DPC Act,D,
149. Pick the incorrect one ,"(a) Under Section 10 read with Section 2(e) of the Act, the CAG shall be responsible for compiling the accounts and for keeping related accounts of the Union and of each State and Union Territory having a legislative assembly ","(b) The President in the case of the Union, the Governor in case of the State Government and the Administrator in case of Union Territory having a legislative assembly with the previous approval of the President in the case of a State/UT, may after consultation with the CAG, by order, relieve him from the responsibility of compiling or keeping the accounts concerned ","(c) Under Section 11 of the Act, the CAG shall submit these accounts, wherever these responsibilities continue with him, to the President or the Governor of a State or Administrator of the Union Territory having a legislative assembly, as the case may be. ",(d) None of the given.,B,
"150. The CAG shall in so far as the accounts, for the compilation or keeping of which he is responsible, enable him so to do, give information and render assistance to the Union Government or the State Government or the Government of Union Territory having a legislative assembly, as they may from time to time require under ",(a) Section 10 (2) of the Act ,(b) Section 22 of the Act ,(c) Section 12 of the Act ,(d) Section 23 of the Act,C,
151. The CAG is authorised to lay down general principles of Government accounting under Section ,(a) 10 of the DPC Act ,(b) 12 of the DPC Act ,(c) 22 of the DPC Act ,(d) 23 of the DPC Act,D,
"152. State whether true or false: For the purpose of Section 23 of the Act, the General Financial Rules shall be deemed to be the general principles of Government accounting ",(a) True ,(b) False,,,B,
"153. Government Accounting Standards Advisory Board (GASB) set up in the office of the CAG with the support of the Government of India is responsible for making recommendations regarding accounting standards to be observed in Government departments and organisations. ii. The Board is chaired by the Dy. CAG and has various stakeholders including the Controller General of Accounts, the Controller General of Defence Accounts, the Financial Commissioner (Railways) as members. iii. The GASB is entrusted with the responsibility of formulating and proposing standards with a view to improve the usefulness of the financial reports based on the needs of the users of these reports. iv. The Government Accounting Standards Advisory Board is entrusted with the responsibility of preparing a framework and a roadmap for shift to cash accounting. ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, ii and iii ",(d) All of the above,C,
154. The hierarchy of instructions of the Comptroller and Auditor General shall be in the order ,(a) Regulations standing orders/guidelines and practice notes ,"(b) Practice notes, regulations and standing orders/guidelines ","(c) Standing orders/guidelines, practice notes and regulation ",(d) Any of the given order.,A,
