1. Pick the Incorrect one ,(a) The be the Chief Accounting Authority of Min/Dept. concerned is the secretary of the Ministry/Department ,(b) The Head of Accounting Organisation in the civil Min/Dept. is Pr. CCA/CCA/CA ,"(c) Responsible to prepare budget estimates, revised estimates etc. and their subsequent transmission to the budget division in the Ministry of Finance is CGA ",(d) None of the given,C ,
 99. Pick the correct one ,(a) Request from PSU for funds for meeting working capital requirements should be considered only to the extent the same cannot be had from the State Bank of India/Nationalised Banks ,"(b) The period of repayment of working capital loans should preferably be restricted to two or three years. In no case, however, the period of these loans should exceed 10 years ",(c) Both A&B ,(d) None of the given,A ,
" 100. In case of default, the higher/penal rate of interest above the normal rate of interest at which a loan is sanctioned should not be less than ",(a) 2.75 percent,(b) 2.5 percent ,(c) 2 percent,(d) 2.25 percent,A ,
 101. Waiver of recovery of interest at penal rate shall only be granted by an adequate level after obtaining advice of the ,(a) PAO ,(b) Pr. AO ,(c) Financial Advisor ,(d) CGA,C ,
" 102. Even a waiver of interest at penal rate is sanctioned, a minimum that should be recovered from the defaulting party as penalty ",(a) ½ percent ,(b) ¼ percent ,(c) 1 percent ,(d) 1 ½ percent,B ,
 103. A monthly report of defaults of principal & Interest should be sent by Min/Dept. by the end of the month following the month to which the transactions relate to ,(a) Finance Division ,(b) Expenditure Division ,(c) Loan & Advances Division ,(d) Budget Division,D ,
" 104. Pick the correct one (i) In the case of a loan of which repayment has already commenced the revised rate of interest should be applied ad initio only to residuary portion of the loan outstanding on the date of extension of its period (ii) In cases where loans are to be sanctioned at a concessional rate, payment of Subsidy (Normal interest-concessional interest) should be made condition upon prompt repayment of principal and payment of interest thereon by the borrower. (iii) The date of drawal of loan by the borrower will be date on which he received cash, cheque or bank draft from the drawing and disbursing officer (iv) Where the cheque or bank draft is sent through post, the date of posting should be treated as the date of disbursement of the loan ","(a) I, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D ,
 105. Auditor's presentation of the general accounts of the Government to Parliament is ,(a) Appropriation Accounts ,(b) Finance Accounts ,(c) Both Appropriation and Finance Account ,(d) Auditor’s Report,B ,
" 106. State whether true or false Finance Account of the Central Government comprises of the accounts of the Central Government as a whole and includes transactions of Civil Min/Dept., Ministries of Defence and Railways and the Departments of P&T. ",(a) True ,(b) False,,,A ,
 107. The Personal Deposit Account shall be authorised to be opened by a special order by the concerned Min/Dept. (Pr. AO) in consultation with ,(a) Financial Advisor ,(b) CGA ,(c) Chief Accounting Authority ,(d) CAG,B ,
 108. No withdrawal from Public Deposit Accounts resulting in a minus balance therein will be ensured by ,(a) Administrator of Fund ,(b) PAO concerned ,(c) Bank ,(d) Pr. Accts officer,C ,
" 109. The Government Account, within which a Personal Deposit Account is located, is ",(a) Consolidated Fund ,(b) Public Account ,(c) Contingency Fund ,(d) Any of the given,B ,
" 110. Where work relating to payment  etc of a PDA is entrusted to an Administrator or the PDA holder, whether or not the initial accounts, vouchers  etc shall be subject to post check by the concerned PAO may be determined by ",(a) Pr. CCA/CA ,(b) Financial Advisor ,(c) CGA ,(d) Chief Accounting Authority,D ,
 111. Pick the correct one ,"(a) Where post check is required to be exercised by the PAO the Deposit Accounts holder shall furnish the detailed monthly account along with vouchers in support of the lump withdrawals/deposits made during each month, to the concerned PAO ","(b) Where post check is not required to be exercised, the PAO will confine its check to the transactions of withdrawals from the account to see that they do not exceed the balance at the credit of the account. ",(c) Both A&B ,(d) None of the given,C ,
" 112. In cases work of payment  etc relating to a PD Account may be entrusted to the PAO himself on behalf of administrator of the fund, the responsible to examine the correctness of the receipts credited into the PD Account will be ",(a) the administrator ,(b) the PAO ,(c) the administrator and the PAO jointly ,(d) Bank,A ,
 113. Pick the incorrect one ,"(a) In the first week of every month, PAO shall furnish to the administrator of fund, a monthly account showing the opening balance, receipts, payments and closing balance of the transactions at the end of the previous month ",(b) The PAO will also be responsible for the preparation of budget estimates and revised estimates in regard to the receipts and payments under the PD Account in consultation with the administrator of the fund and furnishes it to Principal Accounts Officer in the month of November ,(c) PD Account shall be subjected to scrutiny by the internal Audit Wing functioning under respective Ministry/Department ,(d) None of the given,B ,
 114. In the PWD system Cash Remittances & adjustments between Officers rendering accounts to the same Accounts Officer is operated to record transactions of Public Works Officers with Treasury and Other Officers of the Civil Departments within the same circle of Account ,(a) 8670-101 ,(b) 8670-102 ,(c) 8782-101 ,(d) 8782-102,D ,
 115. Sub-heads fall under Major Head Remittance (8782) are ,(a) two ,(b) three ,(c) four ,(d) five,C ,
" 116. The P.A.O. will continue to follow the existing procedure for accounting of transfers between his books and divisional books through ""P.W. Remittances III-Other Remittances"" only for the transactions advised by the ",(a) PAO (Department of Supply) ,(b) PAO (External Affairs) ,(c) PAO (Department of Economic Affair) ,(d) All of the above,A ,
