1. The manner in which the Accountant General qualifies his opinion depends on ,(a) which of the groups the qualification falls into: uncertainty or disagreement ,(b) the strength of the qualification ,(c) Both a & b,(d) None of the given,C
87. Every field office will prepare the detailed annual programme for financial (attest) audits of various auditee entities (including the Union / State / Union Territory Government concerned) to be undertaken during the ensuing financial year in the month of (89) ,(a) March ,(b) April ,(c) August,(d) January,D
"88. Subject to the budgetary ceiling indicated by the Finance Ministry, the PPPAC is empowered to sanction Viability Gap Funding (VGF) of up to ",(a) Rs. 200 Crores for each project ,(b) Rs. 100 Crores for each project ,(c) Rs. 500 Crores for each project,(d) Rs. 250 Crores for each project,A
89. Pick the incorrect one ,"(a) The amount of VGF will be equivalent to the lowest bid for capital subsidy, subject to a maximum of 20% of the total project cost (TPC). ","(b) In case the sponsoring Ministry or the State Government or the statutory authority proposes to provide any assistance over and above the VGF, it will be restricted to a further 20% of the TPC. ","(c) Within the prescribed period of six months of the award of the assistance or any permitted extended period, the Lead Financial Institution (LFI) which will be the approved funding agency for the project will send its appraisal of the project to the Empowered Committee / Institution along with its recommendations for final approval",(d) None of the given,C
"90. Objectives of PPP Audit are i. To help the government organizations achieve accountability and integrity, improve operations, and instil confidence among citizens and stakeholders ii. Public auditors’ role supports the governance responsibilities of oversight, insight, and foresight. iii. Oversight addresses whether government entities are doing what they are supposed to do and serves to detect and deter public corruption. iv. Insight assists decision makers by providing an independent assessment of government programmes, policies, operations and results. iv. Foresight identifies trends and emerging challenges ","(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, iii, iv and v",(d) All of the above,D
91. Stages of audit in PPP ,"(a) When a large project with heavy investment commitments and a long time-frame is under execution, audit may be planned and executed even before the completion of the project. ","(b) On the other hand, audit of projects and programmes of smaller magnitude, may be taken up after the completion of the project. ",(c) A good stage for the first examination of these projects may be soon after the contract has been awarded.,(d) All of the above,D
92. Residual risk in respect of PPP is ,"(a) This risk arises at the end of the PPP contract when the asset is to be transferred back to the government or its agency concerned, who will be holding the risk. ","(b) The contract between the parties should include suitable provisions regarding the health of the assets, its valuation method and other aspects to avoid disputes and losses arising from poor maintenance of the assets and the assurance for their return in the desired conditions ",(c) Both A&B,(d) None of the given,C
93. Central Audit of vouchers pertaining to a month should be conducted ,(a) by 7th of the following month ,(b) by 10th of the following month ,(c) by 15th of the following month,(d) as soon as the monthly accounts are closed and the posting of the vouchers in the registers prescribed is completed by the Accounts and Entitlement office,D
94. A progress report indicating the number of schemes for which certificates are to be issued and the progress made in the certification of accounts from time to time should be forwarded by the AG (Audit) to the Office of the CAG ,(a) monthly ,(b) quarterly ,(c) annual,(d) half-yearly,B
"95. An inspection consists of three parts. ii. Part I consists (a) Introductory (b) Outstanding objections in brief from previous reports (c) Schedule of persistent irregularities. iii. Part II A consist major irregularities that are likely to materialise into draft paragraphs of the Audit Report and cases of system failure and Part II B Irregularities which, though not major, are required to be brought to the notice of higher authorities and followed up by the Accountant General and instances of recoveries to be effected or regularized. iv. Part III is Test Audit Note containing minor irregularities, to which a schedule of items settled on the spot should be attached. The procedural irregularities in respect of which the head of the office has held out assurances about following correct procedure in future should be noted in this Schedule. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv",(d) All of the above,D
"96. i. Any errors noticed in the printed copies of Report should be neatly corrected in the copies sent to the CAG. Where the number of errors is such as will require the inclusion of an errata, this should be printed only after an intimation of the document having been signed by the CAG is received. ii. No correction slips should be issued after the Reports have been forwarded to Government. If a serious error or misprint comes to notice after this has been done, it should be immediately brought to the notice of the CAG along with an explanation of the circumstances in which the error could not be noticed and rectified earlier. iii. If it is decided to issue an amendment, the correction slip, duly dated, will be issued in the name of the Accountant General who is responsible for the preparation of the Report. iv. The Accountant General shall ensure that any such correction slip issued is pasted in the copies countersigned by the CAG and intended to be laid on the table of the Parliament/Legislature. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv",(d) All of the above,C
"97. In the absence of an authoritative definition of the term `New Service"", the Accountant General should be guided by ",(a) such case law as may have been evolved by the Committee on Public Accounts concerned ,"(b) In doubtful cases, he should obtain the orders of the Comptroller and Auditor General. ",(c) Both a & b,"(d) his own discretion and in doubtful cases, he should obtain the orders of the CAG.",C
98. The hierarchy of instructions of the Comptroller and Auditor General shall be in the order ,(a) Regulations standing orders/guidelines and practice notes ,"(b) Practice notes, regulations and standing orders/guidelines ","(c) Standing orders/guidelines, practice notes and regulation",(d) Any of the given order.,A
99. Pick the incorrect one ,"(a) Audit report duly signed by the CAG is sent to the Secretary to the Government, Ministry of Finance or Finance Department as the case may be, who shall take prompt action for the submission of the audit report to the President or the Governor or the Administrator for further action and for the presentation of the report in Parliament or the State or Union Territory legislature. ","(b) Copies of the audit reports under Section 19A of the Act shall be sent to the Secretary of the Ministry or department concerned or the Administrator of a Union Territory having legislative assembly, who shall take prompt action for laying the same in the Parliament or the legislature of the State or Union Territory. ",(c) A signed copy of the audit report shall simultaneously be sent to the Secretary to the President or the Governor or the Administrator.,(d) None of the given,C
100. Pick the incorrect one regarding the Audit Review Committee ,"(a) The AG (Audit) concerned shall be the chairperson of the committee. AG (Audit) or AG (A & E) in a neighbouring State will be another member. The chairperson may, at his discretion, call a special invitee for seeking opinion on technical issues. ","(b) The Secretary to Government of the concerned department and the chief executive of the concerned public sector enterprise shall be the Government and public sector enterprise nominees on the committee. In case some technical issues are involved, the State Government has the option to nominate a technical member for expert opinion. ",(c) Pr. Director of Audit (Central Revenue) may nominate an officer for attending the meeting of the committee as a representative of the CAG,(d) None of the given. ,C
